t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.250723445,2.826551061,2.487263233,0.000000000,-0.003449687,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,-0.022187554,,0.353293832,,-0.042501640,,0.022187554,-0.006176759,-0.044220690,0.005677884,-0.189999470,0.002804363,-0.003193636,8.943664800,9.157248671
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.250723445,2.838584718,2.487263233,0.012487336,-0.003449687,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,-0.022187554,,0.353293832,,-0.042501640,,0.022187554,-0.005722431,-0.044220690,0.001787195,-0.189999470,0.003822886,-0.003193636,8.943664800,9.157248671
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.130903089,2.830716160,1.755476809,0.038474464,-0.018332692,0.375029355,0.173634024,0.038567156,0.019297513,-0.034235671,-0.003224477,,0.353293832,,-0.042501640,,0.022187554,-0.004244929,-0.038548522,-0.002064550,-0.322510502,0.004445424,-0.005041521,8.943664800,9.056837461
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.043797531,2.830716160,0.701864130,0.038474464,-0.032517570,0.375029355,0.173634024,0.038567156,0.019297513,-0.034235671,-0.003224477,,0.353293832,,-0.042501640,,0.022187554,-0.004244929,-0.020452116,-0.002064550,-0.366853079,0.004445424,-0.002879034,8.943664800,8.909944633
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,0.008837173,2.821333890,-0.274269928,0.032512530,-0.033667595,0.363345861,0.121569267,0.061121453,0.013480265,-0.024115322,0.005004544,,0.353293832,,-0.042501640,,0.022187554,-0.003212529,-0.005972031,-0.003206821,-0.334947475,0.000293246,-0.000134779,8.943664800,8.817538925
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,0.006940335,2.821401129,-1.152571751,0.037581456,-0.046054986,0.357145578,0.121569267,0.053066045,0.013480265,-0.023565352,0.005004544,,0.353293832,,-0.042501640,,0.022187554,-0.000611953,0.002865395,0.000152650,-0.251639959,0.001400215,-0.008048761,8.943664800,8.762137137
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367333202,-0.342081070,-0.368844220,1.257491827,1.193995648,0.062609081,0.062423275,0.239394994,0.034220846,2.826169610,-1.918783649,0.065165978,-0.108568949,0.221765489,0.020542880,2.823321231,-1.702127698,0.045578712,-0.076105173,0.357145578,0.102476929,0.053066045,0.013336340,-0.023565352,0.005911737,,0.100676528,,-0.013823552,,-0.005367993,-0.004494742,0.005823108,0.000412764,-0.149476469,0.002779995,-0.013399222,8.943664800,8.733192789
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367333202,-0.342081070,-0.368844220,1.257491827,1.193995648,0.062609081,0.062423275,0.239394994,0.034220846,2.826169610,-1.918783649,0.065165978,-0.108568949,0.217610991,0.040479687,2.837304549,-1.957688594,0.045407092,-0.126033879,0.359724283,0.102476929,0.028671255,0.013336340,-0.027244449,0.005911737,,0.100676528,,-0.013823552,,-0.005367993,-0.002533209,0.006100838,0.005824570,-0.025212636,-0.001774040,-0.020003826,8.943664800,8.715914217
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367333202,-0.342081070,-0.368844220,1.257491827,1.193995648,0.062609081,0.062423275,0.239394994,0.034220846,2.826169610,-1.918783649,0.065165978,-0.108568949,0.217610991,0.056711071,2.837304549,-1.856880709,0.045407092,-0.190236569,0.359724283,0.102353828,0.028671255,0.015175484,-0.027244449,0.003706742,,0.100676528,,-0.013823552,,-0.005367993,-0.002533209,0.003651125,0.005824570,0.091996500,-0.001774040,-0.026064607,8.943664800,8.734670024
