t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.366630016,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.061720089,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.249453939,2.826551061,2.679415227,0.000000000,-0.031156004,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,-0.022187554,,0.353293832,,-0.042501640,,0.022187554,-0.006176759,-0.045132638,0.005677884,-0.062899325,0.002804363,-0.021713145,8.943664800,9.014612100
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.366630016,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.061720089,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.249453939,2.838584718,2.679415227,0.012487336,-0.031156004,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,-0.022187554,,0.353293832,,-0.042501640,,0.022187554,-0.005722431,-0.045132638,0.001787195,-0.062899325,0.003822886,-0.021713145,8.943664800,9.014612100
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.366630016,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.061720089,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.119401007,2.830716160,2.426527039,0.038474464,-0.120172443,0.375029355,0.317229417,0.038567156,0.016482609,-0.034235671,-0.012529198,,0.353293832,,-0.042501640,,0.022187554,-0.004244929,-0.042057860,-0.002064550,-0.115475396,0.004445424,-0.040428104,8.943664800,9.041543376
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.366630016,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.061720089,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.019037214,2.830716160,2.030827963,0.038474464,-0.259167036,0.375029355,0.317229417,0.038567156,0.016482609,-0.034235671,-0.012529198,,0.353293832,,-0.042501640,,0.022187554,-0.004244929,-0.021589625,-0.002064550,-0.143629463,0.004445424,-0.049827246,8.943664800,9.024485639
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366630016,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.061720089,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,-0.018457920,2.821333890,1.634478288,0.032512530,-0.392678631,0.363345861,0.338236352,0.061121453,0.009353099,-0.024115322,-0.012719669,,0.353293832,,-0.042501640,,0.022187554,-0.003212529,-0.004327489,-0.003206821,-0.140226877,0.000293246,-0.045414612,8.943664800,8.989956022
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366630016,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.061720089,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,-0.015311147,2.821401129,1.258422015,0.037581456,-0.506182361,0.357145578,0.338236352,0.053066045,0.009353099,-0.023565352,-0.012719669,,0.353293832,,-0.042501640,,0.022187554,-0.000611953,0.006531464,0.000152650,-0.109324971,0.001400215,-0.030254786,8.943664800,8.938992687
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.365141125,-0.342081070,-0.354416717,1.257491827,1.253447190,0.062609081,0.060231198,0.239394994,0.027893930,2.826169610,0.933857825,0.065165978,-0.580446353,0.221765489,0.007532924,2.823321231,1.020727665,0.045578712,-0.565309639,0.357145578,0.345890442,0.053066045,0.008346414,-0.023565352,-0.016325417,,0.345364555,,-0.008792295,,0.017426781,-0.004494742,0.009948767,0.000412764,-0.063329519,0.002779995,-0.013499160,8.943664800,8.891439979
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.365141125,-0.342081070,-0.354416717,1.257491827,1.253447190,0.062609081,0.060231198,0.239394994,0.027893930,2.826169610,0.933857825,0.065165978,-0.580446353,0.217610991,0.036635251,2.837304549,0.922855641,0.045407092,-0.579861110,0.359724283,0.345890442,0.028671255,0.008346414,-0.027244449,-0.016325417,,0.345364555,,-0.008792295,,0.017426781,-0.002533209,0.009310803,0.005824570,-0.003715044,-0.001774040,0.002695890,8.943664800,8.852706577
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.365141125,-0.342081070,-0.354416717,1.257491827,1.253447190,0.062609081,0.060231198,0.239394994,0.027893930,2.826169610,0.933857825,0.065165978,-0.580446353,0.217610991,0.059345002,2.837304549,0.992889791,0.045407092,-0.553618224,0.359724283,0.342576028,0.028671255,0.010232637,-0.027244449,-0.018823389,,0.345364555,,-0.008792295,,0.017426781,-0.002533209,0.006700459,0.005824570,0.051271039,-0.001774040,0.015344741,8.943664800,8.842213321
