t_s,t_wall_s,t_sim_s,t_real_s,input_lag_s,input_source_t_s,time_base,sample_phase,input_rcout_ch1,input_rcout_ch2,input_rcout_ch3,input_rcout_ch4,input_rcout_ch5,input_rcout_ch6,input_rcout_ch7,input_rcout_ch8,sim_time_s,bar30_pressure_pa,mavros_static_pressure_pa,mavros_atm_pressure_pa,depth_m,depth_pose_depth_m,local_pose_x,local_pose_y,local_pose_z,local_pose_qx,local_pose_qy,local_pose_qz,local_pose_qw,local_vel_x,local_vel_y,local_vel_z,local_vel_body_x,local_vel_body_y,local_vel_body_z,sim_odom_vel_body_x,sim_odom_vel_body_y,sim_odom_vel_body_z,dvl_twist_x,dvl_twist_y,dvl_twist_z,dvl_position_x,dvl_position_y,dvl_position_z,dvl_position_pos_std,dvl_position_roll_deg,dvl_position_pitch_deg,dvl_position_yaw_deg,dvl_position_status,imu_qx,imu_qy,imu_qz,imu_qw,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_raw_qx,imu_raw_qy,imu_raw_qz,imu_raw_qw,imu_raw_gyro_x,imu_raw_gyro_y,imu_raw_gyro_z,imu_raw_accel_x,imu_raw_accel_y,imu_raw_accel_z,seq_sim_time,seq_bar30_pressure,seq_mavros_static_pressure,seq_mavros_atm_pressure,seq_depth,seq_depth_pose,seq_local_pose,seq_local_vel,seq_local_vel_body,seq_sim_odom,seq_dvl_twist,seq_dvl_position,seq_imu,seq_imu_raw
0.000000,0.000000,0.000000,0.350000,-0.450000,0.800000,sim,initial_hold_release_snapshot,1330,1311,1286,1355,1566,1458,1579,1395,32.141998291,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,36,1,1,2,1,1,1,1,1,36,2,1,3,1
0.020000,0.038820,0.020000,0.370000,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,32.161998749,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,0.004859575,0.353293832,-0.042501640,0.022187554,0.309785066,-0.031424743,0.019734956,0.353293832,0.042501640,-0.022187554,0.000012784,0.000033279,0.000000486,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,42,2,2,3,2,2,2,2,2,42,3,2,4,2
0.040001,0.055154,0.040001,0.390001,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,32.181999207,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,0.004859575,0.353293832,-0.042501640,0.022187554,0.309515685,-0.027370193,0.017385179,0.353293832,0.042501640,-0.022187554,0.000012784,0.000033279,0.000000486,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012648817,0.019783171,0.614236621,0.788772469,-0.045132638,-0.062899325,-0.021713145,-0.555462496,0.215755921,9.014612100,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,47,2,2,3,2,2,2,2,2,46,3,2,5,2
0.060001,0.073200,0.060001,0.410001,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.201999664,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,0.004859575,0.353293832,-0.042501640,0.022187554,0.311108287,-0.022433388,0.014871288,0.353293832,0.042501640,-0.022187554,0.000012784,0.000033279,0.000000486,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012648817,0.019783171,0.614236621,0.788772469,-0.045132638,-0.062899325,-0.021713145,-0.555462496,0.215755921,9.014612100,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,52,2,2,3,2,2,2,2,2,52,3,2,5,2
0.080002,0.089613,0.080002,0.430002,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.222000122,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,0.004859575,0.353293832,-0.042501640,0.022187554,0.313733475,-0.019153921,0.013459190,0.353293832,0.042501640,-0.022187554,0.000012784,0.000033279,0.000000486,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012648817,0.019783171,0.614236621,0.788772469,-0.045132638,-0.062899325,-0.021713145,-0.555462496,0.215755921,9.014612100,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,57,2,2,3,2,2,2,2,2,57,3,2,5,2
0.100002,0.110779,0.100002,0.450002,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.242000580,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,0.004859575,0.353293832,-0.042501640,0.022187554,0.317229417,-0.016482609,0.012529198,0.317229417,0.016482609,-0.012529198,0.000012784,0.000033279,0.000000486,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012174826,0.017354847,0.613677766,0.789271932,-0.042057860,-0.115475396,-0.040428104,-0.339580880,0.046224794,9.041543376,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,62,2,2,4,2,2,2,2,2,62,4,2,6,2
0.120003,0.126949,0.120003,0.470003,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.262001038,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,0.004859575,0.353293832,-0.042501640,0.022187554,0.321358132,-0.014318496,0.011997389,0.317229417,0.016482609,-0.012529198,0.000012784,0.000033279,0.000000486,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012174826,0.017354847,0.613677766,0.789271932,-0.042057860,-0.115475396,-0.040428104,-0.339580880,0.046224794,9.041543376,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,67,2,2,4,2,2,2,2,2,67,4,2,6,2
0.140003,0.143643,0.140003,0.490003,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.282001495,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,0.004859575,0.353293832,-0.042501640,0.022187554,0.325844619,-0.012581225,0.011795238,0.317229417,0.016482609,-0.012529198,0.000012784,0.000033279,0.000000486,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012174826,0.017354847,0.613677766,0.789271932,-0.042057860,-0.115475396,-0.040428104,-0.339580880,0.046224794,9.041543376,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,72,2,2,4,2,2,2,2,2,72,4,2,6,2
0.164001,0.166529,0.164001,0.514001,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.305999756,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,0.004859575,0.353293832,-0.042501640,0.022187554,0.331248705,-0.010971055,0.011916810,0.317229417,0.016482609,-0.012529198,0.000012784,0.000033279,0.000000486,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010729746,0.014104885,0.612776551,0.790057481,-0.021589625,-0.143629463,-0.049827246,-0.149991814,-0.011942048,9.024485639,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,78,2,2,4,2,2,2,2,2,78,4,2,7,2
0.180000,0.182535,0.180000,0.530000,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.321998596,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.366630016,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,0.004859575,0.353293832,-0.042501640,0.022187554,0.334589628,-0.010146651,0.012197775,0.317229417,0.016482609,-0.012529198,0.000012784,0.000033279,0.000000486,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010729746,0.014104885,0.612776551,0.790057481,-0.021589625,-0.143629463,-0.049827246,-0.149991814,-0.011942048,9.024485639,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.657151117,0.692906530,9.048849796,82,2,2,4,2,2,2,2,2,82,4,2,7,2
