t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.243633824,2.826551061,2.674489757,0.000000000,-0.018444253,0.374837339,0.374580699,0.053151816,-0.052860287,-0.025732869,0.025707886,,0.374580699,,0.052860287,,-0.025707886,-0.006176759,-0.049722860,0.005677884,-0.065976722,0.002804363,-0.012022183,8.943664800,9.338232502
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.243633824,2.838584718,2.674489757,0.012487336,-0.018444253,0.374837339,0.374580699,0.053151816,-0.052860287,-0.025732869,0.025707886,,0.374580699,,0.052860287,,-0.025707886,-0.005722431,-0.049722860,0.001787195,-0.065976722,0.003822886,-0.012022183,8.943664800,9.338232502
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.102416120,2.830716160,2.410873034,0.038474464,-0.073740305,0.375029355,0.323316866,0.038567156,-0.018940497,-0.034235671,-0.007652198,,0.374580699,,0.052860287,,-0.025707886,-0.004244929,-0.045819424,-0.002064550,-0.119770919,0.004445424,-0.027748937,8.943664800,9.152047082
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,-0.002029881,2.830716160,2.002334586,0.038474464,-0.182108396,0.375029355,0.323316866,0.038567156,-0.018940497,-0.034235671,-0.007652198,,0.374580699,,0.052860287,,-0.025707886,-0.004244929,-0.021588159,-0.002064550,-0.147672676,0.004445424,-0.042285848,8.943664800,9.061941933
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,-0.035431650,2.821333890,1.596747018,0.032512530,-0.299961789,0.363345861,0.343329059,0.061121453,-0.006388657,-0.024115322,-0.013031019,,0.374580699,,0.052860287,,-0.025707886,-0.003212529,-0.002156631,-0.003206821,-0.142751965,0.000293246,-0.040853311,8.943664800,9.003194038
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,-0.024273911,2.821401129,1.216769219,0.037581456,-0.399537423,0.357145578,0.343329059,0.053066045,-0.006388657,-0.023565352,-0.013031019,,0.374580699,,0.052860287,,-0.025707886,-0.000611953,0.009147211,0.000152650,-0.109468521,0.001400215,-0.025162628,8.943664800,8.939466782
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367463848,-0.342081070,-0.362874423,1.257491827,1.257598644,0.062609081,0.062553921,0.239394994,0.028828833,2.826169610,0.900815695,0.065165978,-0.444799716,0.221765489,0.005206807,2.823321231,0.981840330,0.045578712,-0.442891585,0.357145578,0.349388384,0.053066045,0.001291778,-0.023565352,-0.017348904,,0.348353203,,-0.003562823,,0.018437999,-0.004494742,0.011831194,0.000412764,-0.061293249,0.002779995,-0.007275991,8.943664800,8.886666562
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367463848,-0.342081070,-0.362874423,1.257491827,1.257598644,0.062609081,0.062553921,0.239394994,0.028828833,2.826169610,0.900815695,0.065165978,-0.444799716,0.217610991,0.038487625,2.837304549,0.893365143,0.045407092,-0.438313147,0.359724283,0.349388384,0.028671255,0.001291778,-0.027244449,-0.017348904,,0.348353203,,-0.003562823,,0.018437999,-0.002533209,0.010053407,0.005824570,0.000428230,-0.001774040,0.009076045,8.943664800,8.845261173
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367463848,-0.342081070,-0.362874423,1.257491827,1.257598644,0.062609081,0.062553921,0.239394994,0.028828833,2.826169610,0.900815695,0.065165978,-0.444799716,0.217610991,0.062006944,2.837304549,0.976696356,0.045407092,-0.395924797,0.359724283,0.344697726,0.028671255,0.007220285,-0.027244449,-0.019687876,,0.348353203,,-0.003562823,,0.018437999,-0.002533209,0.006497643,0.005824570,0.056542017,-0.001774040,0.020556895,8.943664800,8.835989761
