t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.250274902,2.826551061,2.671115530,0.000000000,-0.012981821,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.025707886,,0.353293832,,-0.042501640,,-0.025707886,-0.006176759,-0.045970017,0.005677884,-0.067794529,0.002804363,-0.008518783,8.943664800,9.345769970
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.250274902,2.838584718,2.671115530,0.012487336,-0.012981821,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.025707886,,0.353293832,,-0.042501640,,-0.025707886,-0.005722431,-0.045970017,0.001787195,-0.067794529,0.003822886,-0.008518783,8.943664800,9.345769970
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.118525402,2.830716160,2.402796648,0.038474464,-0.054391050,0.375029355,0.319914185,0.038567156,0.016898370,-0.034235671,-0.006576736,,0.353293832,,-0.042501640,,-0.025707886,-0.004244929,-0.043573561,-0.002064550,-0.121094246,0.004445424,-0.021244341,8.943664800,9.158219867
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.017076601,2.830716160,1.992750446,0.038474464,-0.139602280,0.375029355,0.319914185,0.038567156,0.016898370,-0.034235671,-0.006576736,,0.353293832,,-0.042501640,,-0.025707886,-0.004244929,-0.022217381,-0.002064550,-0.147372147,0.004445424,-0.033711366,8.943664800,9.060238290
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,-0.019920658,2.821333890,1.590036546,0.032512530,-0.235346088,0.363345861,0.339891153,0.061121453,0.009935321,-0.024115322,-0.012275863,,0.353293832,,-0.042501640,,-0.025707886,-0.003212529,-0.004378930,-0.003206821,-0.141128344,0.000293246,-0.033786396,8.943664800,8.998286192
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,-0.015778443,2.821401129,1.216414118,0.037581456,-0.320076305,0.357145578,0.339891153,0.053066045,0.009935321,-0.023565352,-0.012275863,,0.353293832,,-0.042501640,,-0.025707886,-0.000611953,0.006655808,0.000152650,-0.106969840,0.001400215,-0.022200747,8.943664800,8.935431429
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367749712,-0.342081070,-0.354450765,1.257491827,1.253818372,0.062609081,0.062839785,0.239394994,0.028512983,2.826169610,0.913558635,0.065165978,-0.364895134,0.221765489,0.007796295,2.823321231,0.988909492,0.045578712,-0.360427675,0.357145578,0.345907675,0.053066045,0.008819411,-0.023565352,-0.016445125,,0.345108081,,-0.009207263,,0.017530084,-0.004494742,0.010053823,0.000412764,-0.058496246,0.002779995,-0.007670312,8.943664800,8.885107539
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367749712,-0.342081070,-0.354450765,1.257491827,1.253818372,0.062609081,0.062839785,0.239394994,0.028512983,2.826169610,0.913558635,0.065165978,-0.364895134,0.217610991,0.037359253,2.837304549,0.908465818,0.045407092,-0.360284337,0.359724283,0.345907675,0.028671255,0.008819411,-0.027244449,-0.016445125,,0.345108081,,-0.009207263,,0.017530084,-0.002533209,0.009335502,0.005824570,0.002921777,-0.001774040,0.006894733,8.943664800,8.847379387
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367749712,-0.342081070,-0.354450765,1.257491827,1.253818372,0.062609081,0.062839785,0.239394994,0.028512983,2.826169610,0.913558635,0.065165978,-0.364895134,0.217610991,0.059945950,2.837304549,0.997433698,0.045407092,-0.324328430,0.359724283,0.342129830,0.028671255,0.010546455,-0.027244449,-0.018884545,,0.345108081,,-0.009207263,,0.017530084,-0.002533209,0.006516768,0.005824570,0.058067658,-0.001774040,0.018262419,8.943664800,8.841255692
