t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.246985461,2.826551061,2.673107151,0.000000000,-0.023262744,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.001760166,,0.353293832,,-0.042501640,,-0.001760166,-0.006176759,-0.046565772,0.005677884,-0.066363520,0.002804363,-0.016205575,8.943664800,9.182060628
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.246985461,2.838584718,2.673107151,0.012487336,-0.023262744,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.001760166,,0.353293832,,-0.042501640,,-0.001760166,-0.005722431,-0.046565772,0.001787195,-0.066363520,0.003822886,-0.016205575,8.943664800,9.182060628
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.114596140,2.830716160,2.410141114,0.038474464,-0.092668193,0.375029355,0.319681572,0.038567156,0.016842753,-0.034235671,-0.009707293,,0.353293832,,-0.042501640,,-0.001760166,-0.004244929,-0.042790301,-0.002064550,-0.118943355,0.004445424,-0.032541279,8.943664800,9.098715634
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.014684946,2.830716160,2.006166283,0.038474464,-0.209298207,0.375029355,0.319681572,0.038567156,0.016842753,-0.034235671,-0.009707293,,0.353293832,,-0.042501640,,-0.001760166,-0.004244929,-0.021308879,-0.002064550,-0.145598768,0.004445424,-0.043015849,8.943664800,9.040794520
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,-0.020913282,2.821333890,1.607044264,0.032512530,-0.326293697,0.363345861,0.339297751,0.061121453,0.009684594,-0.024115322,-0.012597525,,0.353293832,,-0.042501640,,-0.001760166,-0.003212529,-0.003762125,-0.003206821,-0.140317166,0.000293246,-0.040124757,8.943664800,8.992420741
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,-0.015834751,2.821401129,1.233823271,0.037581456,-0.426042195,0.357145578,0.339297751,0.053066045,0.009684594,-0.023565352,-0.012597525,,0.353293832,,-0.042501640,,-0.001760166,-0.000611953,0.006960434,0.000152650,-0.107466185,0.001400215,-0.026215704,8.943664800,8.935850899
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366653543,-0.342081070,-0.354330303,1.257491827,1.253821212,0.062609081,0.061743616,0.239394994,0.028798923,2.826169610,0.923891203,0.065165978,-0.484820961,0.221765489,0.008076547,2.823321231,1.003313107,0.045578712,-0.475433005,0.357145578,0.345869786,0.053066045,0.008599986,-0.023565352,-0.016417694,,0.345191681,,-0.009014633,,0.017497770,-0.004494742,0.010153023,0.000412764,-0.060104329,0.002779995,-0.010392945,8.943664800,8.887467274
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366653543,-0.342081070,-0.354330303,1.257491827,1.253821212,0.062609081,0.061743616,0.239394994,0.028798923,2.826169610,0.923891203,0.065165978,-0.484820961,0.217610991,0.037604548,2.837304549,0.916584955,0.045407092,-0.482050180,0.359724283,0.345869786,0.028671255,0.008599986,-0.027244449,-0.016417694,,0.345191681,,-0.009014633,,0.017497770,-0.002533209,0.009316842,0.005824570,0.000404222,-0.001774040,0.004975749,8.943664800,8.849733781
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366653543,-0.342081070,-0.354330303,1.257491827,1.253821212,0.062609081,0.061743616,0.239394994,0.028798923,2.826169610,0.923891203,0.065165978,-0.484820961,0.217610991,0.060098006,2.837304549,0.998102626,0.045407092,-0.450580535,0.359724283,0.342307471,0.028671255,0.010400757,-0.027244449,-0.018861903,,0.345191681,,-0.009014633,,0.017497770,-0.002533209,0.006517004,0.005824570,0.055308238,-0.001774040,0.016886371,8.943664800,8.841981656
0.500000,0.012244400,0.000000000,0.317131493,0.306066510,0.367504478,0.366653543,-0.342081070,-0.354330303,1.257491827,1.253821212,0.050372985,0.060587033,0.239394994,0.028798923,2.826169610,0.923891203,0.065165978,-0.484820961,0.214347570,0.075638083,2.860662334,1.235136104,0.037211708,-0.384199875,0.338579863,0.342307471,0.046601973,0.010400757,-0.032688182,-0.018861903,,0.345191681,,-0.009014633,,0.017497770,0.000693717,0.003397941,0.006167134,0.098259367,-0.000041417,0.026662114,8.973084750,8.866482862
