t_s,t_wall_s,t_sim_s,t_real_s,input_lag_s,input_source_t_s,time_base,sample_phase,input_rcout_ch1,input_rcout_ch2,input_rcout_ch3,input_rcout_ch4,input_rcout_ch5,input_rcout_ch6,input_rcout_ch7,input_rcout_ch8,sim_time_s,bar30_pressure_pa,mavros_static_pressure_pa,mavros_atm_pressure_pa,depth_m,depth_pose_depth_m,local_pose_x,local_pose_y,local_pose_z,local_pose_qx,local_pose_qy,local_pose_qz,local_pose_qw,local_vel_x,local_vel_y,local_vel_z,local_vel_body_x,local_vel_body_y,local_vel_body_z,sim_odom_vel_body_x,sim_odom_vel_body_y,sim_odom_vel_body_z,dvl_twist_x,dvl_twist_y,dvl_twist_z,dvl_position_x,dvl_position_y,dvl_position_z,dvl_position_pos_std,dvl_position_roll_deg,dvl_position_pitch_deg,dvl_position_yaw_deg,dvl_position_status,imu_qx,imu_qy,imu_qz,imu_qw,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_raw_qx,imu_raw_qy,imu_raw_qz,imu_raw_qw,imu_raw_gyro_x,imu_raw_gyro_y,imu_raw_gyro_z,imu_raw_accel_x,imu_raw_accel_y,imu_raw_accel_z,seq_sim_time,seq_bar30_pressure,seq_mavros_static_pressure,seq_mavros_atm_pressure,seq_depth,seq_depth_pose,seq_local_pose,seq_local_vel,seq_local_vel_body,seq_sim_odom,seq_dvl_twist,seq_dvl_position,seq_imu,seq_imu_raw
0.000000,0.000000,0.000000,0.350000,-0.450000,0.800000,sim,initial_hold_release_snapshot,1330,1311,1286,1355,1566,1458,1579,1395,32.141998291,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,36,1,1,2,1,1,1,1,1,36,2,1,4,1
0.020000,0.039207,0.020000,0.370000,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,32.161998749,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.311429999,-0.031719028,0.003190258,0.353293832,0.042501640,0.001760166,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,42,2,2,3,2,2,2,2,2,42,3,2,5,2
0.040001,0.055614,0.040001,0.390001,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,32.181999207,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.311958651,-0.027706453,0.005703687,0.353293832,0.042501640,0.001760166,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012633350,0.019725652,0.614292261,0.788730826,-0.046565772,-0.066363520,-0.016205575,-0.548265321,0.229598394,9.182060628,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,47,2,2,3,2,2,2,2,2,46,3,2,6,2
0.060001,0.073689,0.060001,0.410001,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.201999664,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.313909663,-0.022787255,0.007966349,0.353293832,0.042501640,0.001760166,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012633350,0.019725652,0.614292261,0.788730826,-0.046565772,-0.066363520,-0.016205575,-0.548265321,0.229598394,9.182060628,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,52,2,2,3,2,2,2,2,2,52,3,2,6,2
0.080002,0.090212,0.080002,0.430002,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.222000122,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.316424476,-0.019511542,0.009026675,0.353293832,0.042501640,0.001760166,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012633350,0.019725652,0.614292261,0.788730826,-0.046565772,-0.066363520,-0.016205575,-0.548265321,0.229598394,9.182060628,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,57,2,2,3,2,2,2,2,2,57,3,2,6,2
0.100002,0.111362,0.100002,0.450002,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.242000580,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.319681572,-0.016842753,0.009707293,0.319681572,0.016842753,-0.009707293,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012124295,0.017213348,0.613869882,0.789126397,-0.042790301,-0.118943355,-0.032541279,-0.347201266,0.046121330,9.098715634,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,62,2,2,4,2,2,2,2,2,62,4,2,7,2
0.120003,0.127967,0.120003,0.470003,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.262001038,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.323545874,-0.014679400,0.010228610,0.319681572,0.016842753,-0.009707293,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012124295,0.017213348,0.613869882,0.789126397,-0.042790301,-0.118943355,-0.032541279,-0.347201266,0.046121330,9.098715634,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,67,2,2,4,2,2,2,2,2,67,4,2,7,2
0.140003,0.144641,0.140003,0.490003,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.282001495,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.327767727,-0.012939386,0.010719135,0.319681572,0.016842753,-0.009707293,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012124295,0.017213348,0.613869882,0.789126397,-0.042790301,-0.118943355,-0.032541279,-0.347201266,0.046121330,9.098715634,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,72,2,2,4,2,2,2,2,2,72,4,2,7,2
0.164001,0.167752,0.164001,0.514001,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.305999756,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.332841876,-0.011321383,0.011369429,0.319681572,0.016842753,-0.009707293,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010633927,0.013906954,0.613123198,0.789793303,-0.021308879,-0.145598768,-0.043015849,-0.154575600,-0.015852545,9.040794520,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,78,2,2,4,2,2,2,2,2,78,4,2,8,2
0.180000,0.183515,0.180000,0.530000,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.321998596,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.335949677,-0.010489531,0.011881172,0.319681572,0.016842753,-0.009707293,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010633927,0.013906954,0.613123198,0.789793303,-0.021308879,-0.145598768,-0.043015849,-0.154575600,-0.015852545,9.040794520,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,82,2,2,4,2,2,2,2,2,82,4,2,8,2
0.200001,0.203607,0.200001,0.550001,-0.450000,1.000000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.341999054,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127417262,0.331704060,-0.019059821,0.353293832,-0.042501640,-0.001760166,0.338682382,-0.009825360,0.012448844,0.319681572,0.016842753,-0.009707293,0.000012742,0.000033170,-0.000001906,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010633927,0.013906954,0.613123198,0.789793303,-0.021308879,-0.145598768,-0.043015849,-0.154575600,-0.015852545,9.040794520,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.551551335,0.690068168,9.290592209,87,2,2,5,2,2,2,2,2,86,4,2,8,2
