t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.250501403,2.826551061,2.671472389,0.000000000,-0.012561374,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.025707886,,0.353293832,,-0.042501640,,-0.025707886,-0.006176759,-0.045825651,0.005677884,-0.067598538,0.002804363,-0.007838404,8.943664800,9.326068397
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.250501403,2.838584718,2.671472389,0.012487336,-0.012561374,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.025707886,,0.353293832,,-0.042501640,,-0.025707886,-0.005722431,-0.045825651,0.001787195,-0.067598538,0.003822886,-0.007838404,8.943664800,9.326068397
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.119065492,2.830716160,2.403469488,0.038474464,-0.048429369,0.375029355,0.320111632,0.038567156,0.016896297,-0.034235671,-0.004079433,,0.353293832,,-0.042501640,,-0.025707886,-0.004244929,-0.043726678,-0.002064550,-0.121127092,0.004445424,-0.017877554,8.943664800,9.150833446
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.017238685,2.830716160,1.992267054,0.038474464,-0.119947061,0.375029355,0.320111632,0.038567156,0.016896297,-0.034235671,-0.004079433,,0.353293832,,-0.042501640,,-0.025707886,-0.004244929,-0.022594149,-0.002064550,-0.148180203,0.004445424,-0.028434997,8.943664800,9.061249915
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,-0.020314968,2.821333890,1.585730239,0.032512530,-0.202001651,0.363345861,0.342416399,0.061121453,0.010023468,-0.024115322,-0.009627834,,0.353293832,,-0.042501640,,-0.025707886,-0.003212529,-0.004628199,-0.003206821,-0.143068555,0.000293246,-0.029393651,8.943664800,9.005850138
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,-0.016448969,2.821401129,1.204736211,0.037581456,-0.276342719,0.357145578,0.342416399,0.053066045,0.010023468,-0.023565352,-0.009627834,,0.353293832,,-0.042501640,,-0.025707886,-0.000611953,0.006555160,0.000152650,-0.109832589,0.001400215,-0.019518870,8.943664800,8.944574406
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.368482936,-0.342081070,-0.354338096,1.257491827,1.254404606,0.062609081,0.063573009,0.239394994,0.028568185,2.826169610,0.887529637,0.065165978,-0.312047455,0.221765489,0.007390454,2.823321231,0.968958824,0.045578712,-0.310816210,0.357145578,0.350191105,0.053066045,0.008931680,-0.023565352,-0.014418944,,0.349437357,,-0.009317079,,0.015636688,-0.004494742,0.010200021,0.000412764,-0.061544508,0.002779995,-0.005923526,8.943664800,8.890953753
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.368482936,-0.342081070,-0.354338096,1.257491827,1.254404606,0.062609081,0.063573009,0.239394994,0.028568185,2.826169610,0.887529637,0.065165978,-0.312047455,0.217610991,0.037640313,2.837304549,0.879972079,0.045407092,-0.306184763,0.359724283,0.350191105,0.028671255,0.008931680,-0.027244449,-0.014418944,,0.349437357,,-0.009317079,,0.015636688,-0.002533209,0.009554932,0.005824570,0.000326780,-0.001774040,0.008225830,8.943664800,8.848516272
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.368482936,-0.342081070,-0.354338096,1.257491827,1.254404606,0.062609081,0.063573009,0.239394994,0.028568185,2.826169610,0.887529637,0.065165978,-0.312047455,0.217610991,0.060554852,2.837304549,0.963159017,0.045407092,-0.267020366,0.359724283,0.346279434,0.028671255,0.010646096,-0.027244449,-0.017092670,,0.349437357,,-0.009317079,,0.015636688,-0.002533209,0.006518447,0.005824570,0.056524507,-0.001774040,0.019256377,8.943664800,8.837839722
0.500000,0.012244400,0.000000000,0.317131493,0.304909927,0.367504478,0.368482936,-0.342081070,-0.354338096,1.257491827,1.254404606,0.050372985,0.063573009,0.239394994,0.028568185,2.826169610,0.887529637,0.065165978,-0.312047455,0.214347570,0.075918294,2.860662334,1.205553089,0.037211708,-0.194901431,0.338579863,0.346279434,0.046601973,0.010646096,-0.032688182,-0.017092670,,0.349437357,,-0.009317079,,0.015636688,0.000693717,0.003206744,0.006167134,0.100493784,-0.000041417,0.028180554,8.973084750,8.862756604
0.550000,0.012244400,0.003332964,0.317131493,0.308242892,0.370433599,0.368482936,-0.295722753,-0.354338096,1.368775249,1.254404606,0.053302106,0.060240044,0.213764991,0.028568185,2.872434740,0.887529637,0.065532265,-0.312047455,0.213764991,0.084267886,2.872434740,1.510809587,0.036442462,-0.106953504,0.338579863,0.340301291,0.046601973,0.013544012,-0.032688182,-0.017693886,,0.349437357,,-0.009317079,,0.015636688,-0.000539368,0.001691679,0.003437517,0.116787166,-0.001252474,0.035115158,8.973084750,8.902974396
