t_s,t_wall_s,t_sim_s,t_real_s,input_lag_s,input_source_t_s,time_base,sample_phase,input_rcout_ch1,input_rcout_ch2,input_rcout_ch3,input_rcout_ch4,input_rcout_ch5,input_rcout_ch6,input_rcout_ch7,input_rcout_ch8,sim_time_s,bar30_pressure_pa,mavros_static_pressure_pa,mavros_atm_pressure_pa,depth_m,depth_pose_depth_m,local_pose_x,local_pose_y,local_pose_z,local_pose_qx,local_pose_qy,local_pose_qz,local_pose_qw,local_vel_x,local_vel_y,local_vel_z,local_vel_body_x,local_vel_body_y,local_vel_body_z,sim_odom_vel_body_x,sim_odom_vel_body_y,sim_odom_vel_body_z,dvl_twist_x,dvl_twist_y,dvl_twist_z,dvl_position_x,dvl_position_y,dvl_position_z,dvl_position_pos_std,dvl_position_roll_deg,dvl_position_pitch_deg,dvl_position_yaw_deg,dvl_position_status,imu_qx,imu_qy,imu_qz,imu_qw,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_raw_qx,imu_raw_qy,imu_raw_qz,imu_raw_qw,imu_raw_gyro_x,imu_raw_gyro_y,imu_raw_gyro_z,imu_raw_accel_x,imu_raw_accel_y,imu_raw_accel_z,seq_sim_time,seq_bar30_pressure,seq_mavros_static_pressure,seq_mavros_atm_pressure,seq_depth,seq_depth_pose,seq_local_pose,seq_local_vel,seq_local_vel_body,seq_sim_odom,seq_dvl_twist,seq_dvl_position,seq_imu,seq_imu_raw
0.000000,0.000000,0.000000,0.350000,-0.450000,0.800000,sim,initial_hold_release_snapshot,1330,1311,1286,1355,1566,1458,1579,1395,33.007999420,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,3,2,2,10,2,2,3,3,3,2,10,4,20,2
0.020000,0.036100,0.020000,0.370000,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,33.027999878,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.310116325,-0.031401980,-0.014283186,0.353293832,0.042501640,0.025707886,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,8,3,3,11,3,3,4,4,4,8,11,5,21,3
0.040001,0.053119,0.040001,0.390001,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,33.048000336,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.310639790,-0.027427694,-0.007604136,0.353293832,0.042501640,0.025707886,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012602228,0.019732072,0.614365539,0.788674086,-0.045825651,-0.067598538,-0.007838404,-0.519920524,0.255280080,9.326068397,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,13,3,3,11,3,3,4,4,4,12,11,5,22,3
0.060001,0.071682,0.060001,0.410001,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.068000793,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.313262212,-0.022623783,-0.001246072,0.353293832,0.042501640,0.025707886,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012602228,0.019732072,0.614365539,0.788674086,-0.045825651,-0.067598538,-0.007838404,-0.519920524,0.255280080,9.326068397,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,18,3,3,11,3,3,4,4,4,18,11,5,22,3
0.080002,0.088615,0.080002,0.430002,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.088001251,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.316365546,-0.019457131,0.001969733,0.353293832,0.042501640,0.025707886,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012602228,0.019732072,0.614365539,0.788674086,-0.045825651,-0.067598538,-0.007838404,-0.519920524,0.255280080,9.326068397,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,23,3,3,11,3,3,4,4,4,23,11,5,22,3
0.100002,0.110284,0.100002,0.450002,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.108001709,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.320111632,-0.016896297,0.004079433,0.320111632,0.016896297,-0.004079433,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012064411,0.017186692,0.614174611,0.788890750,-0.043726678,-0.121127092,-0.017877554,-0.323564579,0.058191149,9.150833446,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,28,3,3,12,3,3,4,4,4,28,12,5,23,3
0.124001,0.130468,0.124001,0.474001,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.131999969,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.325352619,-0.014461972,0.005785610,0.320111632,0.016896297,-0.004079433,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012064411,0.017186692,0.614174611,0.788890750,-0.043726678,-0.121127092,-0.017877554,-0.323564579,0.058191149,9.150833446,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,34,3,3,12,3,3,4,4,4,34,12,5,23,3
0.144001,0.147671,0.144001,0.494001,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.152000427,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.330124077,-0.012868755,0.006873886,0.320111632,0.016896297,-0.004079433,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012064411,0.017186692,0.614174611,0.788890750,-0.043726678,-0.121127092,-0.017877554,-0.323564579,0.058191149,9.150833446,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,39,3,3,12,3,3,4,4,4,39,12,5,23,3
0.164001,0.167037,0.164001,0.514001,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.172000885,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.334910109,-0.011609755,0.007860092,0.320111632,0.016896297,-0.004079433,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010552734,0.013816597,0.613739845,0.789316885,-0.022594149,-0.148180203,-0.028434997,-0.123767237,-0.020939783,9.061249915,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,44,3,3,12,3,3,4,4,4,44,12,5,24,3
0.180000,0.182751,0.180000,0.530000,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.187999725,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.338495688,-0.010805063,0.008631216,0.320111632,0.016896297,-0.004079433,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010552734,0.013816597,0.613739845,0.789316885,-0.022594149,-0.148180203,-0.028434997,-0.123767237,-0.020939783,9.061249915,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.713346116,0.710391907,9.470362194,48,3,3,12,3,3,4,4,4,48,12,5,24,3
