t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.340290879,2.826551061,2.766111383,0.000000000,0.000000000,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.025707886,,0.353293832,,-0.042501640,,-0.025707886,-0.006176759,-0.006176759,0.005677884,0.005677884,0.002804363,0.002804363,8.943664800,9.524612629
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.249864211,2.838584718,2.671167355,0.012487336,-0.014192749,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.025707886,,0.353293832,,-0.042501640,,-0.025707886,-0.005722431,-0.046149464,0.001787195,-0.067711916,0.003822886,-0.009649913,8.943664800,9.317571072
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.117668532,2.830716160,2.403330869,0.038474464,-0.060090687,0.375029355,0.320021658,0.038567156,0.016842548,-0.034235671,-0.006457163,,0.353293832,,-0.042501640,,-0.025707886,-0.004244929,-0.043605431,-0.002064550,-0.120912675,0.004445424,-0.022944260,8.943664800,9.128673037
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.016035434,2.830716160,1.993330360,0.038474464,-0.148498641,0.375029355,0.320021658,0.038567156,0.016842548,-0.034235671,-0.006457163,,0.353293832,,-0.042501640,,-0.025707886,-0.004244929,-0.022243151,-0.002064550,-0.147622814,0.004445424,-0.034141781,8.943664800,9.046169414
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,-0.021042942,2.821333890,1.588605240,0.032512530,-0.244462864,0.363345861,0.341537536,0.061121453,0.009862895,-0.024115322,-0.010304636,,0.353293832,,-0.042501640,,-0.025707886,-0.003212529,-0.004326067,-0.003206821,-0.142363508,0.000293246,-0.033722429,8.943664800,8.993634642
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,-0.016691964,2.821401129,1.209377620,0.037581456,-0.329196301,0.357145578,0.341537536,0.053066045,0.009862895,-0.023565352,-0.010304636,,0.353293832,,-0.042501640,,-0.025707886,-0.000611953,0.006754874,0.000152650,-0.109426485,0.001400215,-0.022321278,8.943664800,8.935363946
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.368086132,-0.342081070,-0.354321584,1.257491827,1.254320508,0.062609081,0.063176205,0.239394994,0.028834486,2.826169610,0.891075383,0.065165978,-0.374728091,0.221765489,0.007468467,2.823321231,0.973799391,0.045578712,-0.370023178,0.357145578,0.350077410,0.053066045,0.008785529,-0.023565352,-0.013992945,,0.349848492,,-0.009190977,,0.014970494,-0.004494742,0.010334310,0.000412764,-0.061828144,0.002779995,-0.007849710,8.943664800,8.885920557
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.368086132,-0.342081070,-0.354321584,1.257491827,1.254320508,0.062609081,0.063176205,0.239394994,0.028834486,2.826169610,0.891075383,0.065165978,-0.374728091,0.217610991,0.037977063,2.837304549,0.882489488,0.045407092,-0.370146759,0.359724283,0.350077410,0.028671255,0.008785529,-0.027244449,-0.013992945,,0.349848492,,-0.009190977,,0.014970494,-0.002533209,0.009649185,0.005824570,-0.000931444,-0.001774040,0.006897734,8.943664800,8.847129425
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.368086132,-0.342081070,-0.354321584,1.257491827,1.254320508,0.062609081,0.063176205,0.239394994,0.028834486,2.826169610,0.891075383,0.065165978,-0.374728091,0.217610991,0.061064428,2.837304549,0.961056456,0.045407092,-0.333996326,0.359724283,0.347484425,0.028671255,0.010562764,-0.027244449,-0.016177933,,0.349848492,,-0.009190977,,0.014970494,-0.002533209,0.006572843,0.005824570,0.054519810,-0.001774040,0.018364337,8.943664800,8.837438055
