t_s,t_wall_s,t_sim_s,t_real_s,input_lag_s,input_source_t_s,time_base,sample_phase,input_rcout_ch1,input_rcout_ch2,input_rcout_ch3,input_rcout_ch4,input_rcout_ch5,input_rcout_ch6,input_rcout_ch7,input_rcout_ch8,sim_time_s,bar30_pressure_pa,mavros_static_pressure_pa,mavros_atm_pressure_pa,depth_m,depth_pose_depth_m,local_pose_x,local_pose_y,local_pose_z,local_pose_qx,local_pose_qy,local_pose_qz,local_pose_qw,local_vel_x,local_vel_y,local_vel_z,local_vel_body_x,local_vel_body_y,local_vel_body_z,sim_odom_vel_body_x,sim_odom_vel_body_y,sim_odom_vel_body_z,dvl_twist_x,dvl_twist_y,dvl_twist_z,dvl_position_x,dvl_position_y,dvl_position_z,dvl_position_pos_std,dvl_position_roll_deg,dvl_position_pitch_deg,dvl_position_yaw_deg,dvl_position_status,imu_qx,imu_qy,imu_qz,imu_qw,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_raw_qx,imu_raw_qy,imu_raw_qz,imu_raw_qw,imu_raw_gyro_x,imu_raw_gyro_y,imu_raw_gyro_z,imu_raw_accel_x,imu_raw_accel_y,imu_raw_accel_z,seq_sim_time,seq_bar30_pressure,seq_mavros_static_pressure,seq_mavros_atm_pressure,seq_depth,seq_depth_pose,seq_local_pose,seq_local_vel,seq_local_vel_body,seq_sim_odom,seq_dvl_twist,seq_dvl_position,seq_imu,seq_imu_raw
0.000000,0.000000,0.000000,0.350000,-0.450000,0.800000,sim,initial_hold_release_snapshot,1330,1311,1286,1355,1566,1458,1579,1395,33.007999420,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,3,2,2,10,2,2,3,3,3,2,10,4,20,2
0.020000,0.035969,0.020000,0.370000,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,33.027999878,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.310269667,-0.031416141,-0.011768913,0.353293832,0.042501640,0.025707886,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,8,3,3,11,3,3,4,4,4,8,11,5,21,3
0.040001,0.053278,0.040001,0.390001,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,33.048000336,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.311277134,-0.026560623,-0.002934996,0.353293832,0.042501640,0.025707886,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,13,3,3,11,3,3,4,4,4,13,11,5,21,3
0.060001,0.071903,0.060001,0.410001,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.068000793,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.313519370,-0.022631466,0.002025788,0.353293832,0.042501640,0.025707886,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012604697,0.019726736,0.614354463,0.788682807,-0.046149464,-0.067711916,-0.009649913,-0.523512392,0.246369763,9.317571072,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,18,3,3,11,3,3,4,4,4,18,11,5,22,3
0.080002,0.088968,0.080002,0.430002,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.088001251,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.316458943,-0.019436884,0.004827666,0.353293832,0.042501640,0.025707886,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012604697,0.019726736,0.614354463,0.788682807,-0.046149464,-0.067711916,-0.009649913,-0.523512392,0.246369763,9.317571072,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,23,3,3,11,3,3,4,4,4,23,11,5,22,3
0.100002,0.110715,0.100002,0.450002,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.108001709,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.320021658,-0.016842548,0.006457163,0.320021658,0.016842548,-0.006457163,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012071537,0.017179479,0.614094553,0.788953119,-0.043605431,-0.120912675,-0.022944260,-0.332091511,0.050963733,9.128673037,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,28,3,3,12,3,3,4,4,4,28,12,5,23,3
0.124001,0.131022,0.124001,0.474001,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.131999969,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.325043081,-0.014368727,0.007640507,0.320021658,0.016842548,-0.006457163,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012071537,0.017179479,0.614094553,0.788953119,-0.043605431,-0.120912675,-0.022944260,-0.332091511,0.050963733,9.128673037,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,34,3,3,12,3,3,4,4,4,34,12,5,23,3
0.144001,0.148923,0.144001,0.494001,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.152000427,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.329629235,-0.012748115,0.008361939,0.320021658,0.016842548,-0.006457163,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012071537,0.017179479,0.614094553,0.788953119,-0.043605431,-0.120912675,-0.022944260,-0.332091511,0.050963733,9.128673037,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,39,3,3,12,3,3,4,4,4,39,12,5,23,3
0.164001,0.169459,0.164001,0.514001,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.172000885,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.334237609,-0.011469047,0.009032344,0.320021658,0.016842548,-0.006457163,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010563274,0.013820109,0.613543205,0.789469542,-0.022243151,-0.147622814,-0.034141781,-0.132437131,-0.020243761,9.046169414,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,44,3,3,12,3,3,4,4,4,44,12,5,24,3
0.180000,0.186249,0.180000,0.530000,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,33.187999725,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.337705632,-0.010653325,0.009575432,0.320021658,0.016842548,-0.006457163,0.000253994,0.000661236,-0.000085958,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010563274,0.013820109,0.613543205,0.789469542,-0.022243151,-0.147622814,-0.034141781,-0.132437131,-0.020243761,9.046169414,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.716931307,0.710996114,9.524612629,48,3,3,12,3,3,4,4,4,48,12,5,24,3
