t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.248279372,2.826551061,2.668338487,0.000000000,-0.012747119,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.025707886,,0.353293832,,-0.042501640,,-0.025707886,-0.006176759,-0.046888596,0.005677884,-0.069470164,0.002804363,-0.008310217,8.943664800,9.347346989
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.248279372,2.838584718,2.668338487,0.012487336,-0.012747119,0.374837339,0.353293832,0.053151816,0.042501640,-0.025732869,0.025707886,,0.353293832,,-0.042501640,,-0.025707886,-0.005722431,-0.046888596,0.001787195,-0.069470164,0.003822886,-0.008310217,8.943664800,9.347346989
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.114824849,2.830716160,2.394729157,0.038474464,-0.053207028,0.375029355,0.319829112,0.038567156,0.016888472,-0.034235671,-0.006333580,,0.353293832,,-0.042501640,,-0.025707886,-0.004244929,-0.043890618,-0.002064550,-0.123052076,0.004445424,-0.020791430,8.943664800,9.159441321
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.013544619,2.830716160,1.979675537,0.038474464,-0.136861342,0.375029355,0.319829112,0.038567156,0.016888472,-0.034235671,-0.006333580,,0.353293832,,-0.042501640,,-0.025707886,-0.004244929,-0.021924321,-0.002064550,-0.148689325,0.004445424,-0.033159133,8.943664800,9.060521599
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,-0.022226864,2.821333890,1.574644212,0.032512530,-0.230940008,0.363345861,0.340072543,0.061121453,0.009923137,-0.024115322,-0.012206543,,0.353293832,,-0.042501640,,-0.025707886,-0.003212529,-0.003895496,-0.003206821,-0.141509110,0.000293246,-0.033134219,8.943664800,8.997862843
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,-0.016609004,2.821401129,1.201506963,0.037581456,-0.313478662,0.357145578,0.340072543,0.053066045,0.009923137,-0.023565352,-0.012206543,,0.353293832,,-0.042501640,,-0.025707886,-0.000611953,0.007081992,0.000152650,-0.106318353,0.001400215,-0.021401494,8.943664800,8.934227484
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367765287,-0.342081070,-0.354459583,1.257491827,1.253832698,0.062609081,0.062855360,0.239394994,0.029122889,2.826169610,0.905204839,0.065165978,-0.354261054,0.221765489,0.007971738,2.823321231,0.976995695,0.045578712,-0.351530043,0.357145578,0.346025433,0.053066045,0.008804690,-0.023565352,-0.016481478,,0.345172369,,-0.009197171,,0.017578166,-0.004494742,0.010319739,0.000412764,-0.057033939,0.002779995,-0.006818425,8.943664800,8.883511918
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367765287,-0.342081070,-0.354459583,1.257491827,1.253832698,0.062609081,0.062855360,0.239394994,0.029122889,2.826169610,0.905204839,0.065165978,-0.354261054,0.217610991,0.038073547,2.837304549,0.901984979,0.045407092,-0.348907916,0.359724283,0.346025433,0.028671255,0.008804690,-0.027244449,-0.016481478,,0.345172369,,-0.009197171,,0.017578166,-0.002533209,0.009408080,0.005824570,0.005037886,-0.001774040,0.007688188,8.943664800,8.845803118
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367765287,-0.342081070,-0.354459583,1.257491827,1.253832698,0.062609081,0.062855360,0.239394994,0.029122889,2.826169610,0.905204839,0.065165978,-0.354261054,0.217610991,0.060613991,2.837304549,0.997110653,0.045407092,-0.311013646,0.359724283,0.342108267,0.028671255,0.010554062,-0.027244449,-0.018934044,,0.345172369,,-0.009197171,,0.017578166,-0.002533209,0.006417432,0.005824570,0.060321543,-0.001774040,0.018864400,8.943664800,8.840741502
