t_s,t_wall_s,t_sim_s,t_real_s,input_lag_s,input_source_t_s,time_base,sample_phase,input_rcout_ch1,input_rcout_ch2,input_rcout_ch3,input_rcout_ch4,input_rcout_ch5,input_rcout_ch6,input_rcout_ch7,input_rcout_ch8,sim_time_s,bar30_pressure_pa,mavros_static_pressure_pa,mavros_atm_pressure_pa,depth_m,depth_pose_depth_m,local_pose_x,local_pose_y,local_pose_z,local_pose_qx,local_pose_qy,local_pose_qz,local_pose_qw,local_vel_x,local_vel_y,local_vel_z,local_vel_body_x,local_vel_body_y,local_vel_body_z,sim_odom_vel_body_x,sim_odom_vel_body_y,sim_odom_vel_body_z,dvl_twist_x,dvl_twist_y,dvl_twist_z,dvl_position_x,dvl_position_y,dvl_position_z,dvl_position_pos_std,dvl_position_roll_deg,dvl_position_pitch_deg,dvl_position_yaw_deg,dvl_position_status,imu_qx,imu_qy,imu_qz,imu_qw,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_raw_qx,imu_raw_qy,imu_raw_qz,imu_raw_qw,imu_raw_gyro_x,imu_raw_gyro_y,imu_raw_gyro_z,imu_raw_accel_x,imu_raw_accel_y,imu_raw_accel_z,seq_sim_time,seq_bar30_pressure,seq_mavros_static_pressure,seq_mavros_atm_pressure,seq_depth,seq_depth_pose,seq_local_pose,seq_local_vel,seq_local_vel_body,seq_sim_odom,seq_dvl_twist,seq_dvl_position,seq_imu,seq_imu_raw
0.000000,0.000000,0.000000,0.350000,-0.450000,0.800000,sim,initial_hold_release_snapshot,1330,1311,1286,1355,1566,1458,1579,1395,32.141998291,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,36,1,1,2,1,1,1,1,1,36,2,1,4,1
0.020000,0.039126,0.020000,0.370000,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,32.161998749,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.310124686,-0.031412719,-0.013543050,0.353293832,0.042501640,0.025707886,0.000012700,0.000033062,-0.000004298,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,42,2,2,3,2,2,2,2,2,42,3,2,5,2
0.040001,0.055434,0.040001,0.390001,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,32.181999207,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.310671318,-0.027444470,-0.006389490,0.353293832,0.042501640,0.025707886,0.000012700,0.000033062,-0.000004298,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012600685,0.019698612,0.614365081,0.788675303,-0.046888596,-0.069470164,-0.008310217,-0.525776475,0.250506305,9.347346989,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,47,2,2,3,2,2,2,2,2,46,3,2,6,2
0.060001,0.073480,0.060001,0.410001,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.201999664,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.313233446,-0.022643791,0.000498647,0.353293832,0.042501640,0.025707886,0.000012700,0.000033062,-0.000004298,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012600685,0.019698612,0.614365081,0.788675303,-0.046888596,-0.069470164,-0.008310217,-0.525776475,0.250506305,9.347346989,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,52,2,2,3,2,2,2,2,2,52,3,2,6,2
0.080002,0.089967,0.080002,0.430002,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.222000122,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.316221253,-0.019468767,0.004014398,0.353293832,0.042501640,0.025707886,0.000012700,0.000033062,-0.000004298,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012600685,0.019698612,0.614365081,0.788675303,-0.046888596,-0.069470164,-0.008310217,-0.525776475,0.250506305,9.347346989,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,57,2,2,3,2,2,2,2,2,57,3,2,6,2
0.100002,0.111286,0.100002,0.450002,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.242000580,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.319829112,-0.016888472,0.006333580,0.319829112,0.016888472,-0.006333580,0.000012700,0.000033062,-0.000004298,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012046044,0.017104296,0.614143396,0.788917122,-0.043890618,-0.123052076,-0.020791430,-0.328507373,0.047707056,9.159441321,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,62,2,2,4,2,2,2,2,2,62,4,2,7,2
0.120003,0.127816,0.120003,0.470003,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.262001038,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.323958247,-0.014796541,0.007955041,0.319829112,0.016888472,-0.006333580,0.000012700,0.000033062,-0.000004298,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012046044,0.017104296,0.614143396,0.788917122,-0.043890618,-0.123052076,-0.020791430,-0.328507373,0.047707056,9.159441321,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,67,2,2,4,2,2,2,2,2,67,4,2,7,2
0.140003,0.144510,0.140003,0.490003,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.282001495,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.328382852,-0.013109089,0.009192929,0.319829112,0.016888472,-0.006333580,0.000012700,0.000033062,-0.000004298,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012046044,0.017104296,0.614143396,0.788917122,-0.043890618,-0.123052076,-0.020791430,-0.328507373,0.047707056,9.159441321,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,72,2,2,4,2,2,2,2,2,72,4,2,7,2
0.164001,0.166461,0.164001,0.514001,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.305999756,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.333608997,-0.011532145,0.010442608,0.319829112,0.016888472,-0.006333580,0.000012700,0.000033062,-0.000004298,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010508716,0.013711632,0.613624955,0.789408622,-0.021924321,-0.148689325,-0.033159133,-0.138944281,-0.023670488,9.060521599,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,78,2,2,4,2,2,2,2,2,78,4,2,8,2
0.180000,0.182176,0.180000,0.530000,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,32.321998596,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.126996917,0.330618188,-0.042979217,0.353293832,-0.042501640,-0.025707886,0.336752284,-0.010716904,0.011233972,0.319829112,0.016888472,-0.006333580,0.000012700,0.000033062,-0.000004298,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010508716,0.013711632,0.613624955,0.789408622,-0.021924321,-0.148689325,-0.033159133,-0.138944281,-0.023670488,9.060521599,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.722549927,0.716917429,9.520045031,82,2,2,4,2,2,2,2,2,82,4,2,8,2
