t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.247864517,2.826551061,2.676506458,0.000000000,-0.028991316,0.374837339,0.353763479,0.053151816,0.042559371,-0.025732869,-0.012467253,,0.353763479,,-0.042559371,,0.012467253,-0.006176759,-0.045879491,0.005677884,-0.064463022,0.002804363,-0.020132992,8.943664800,9.082070522
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.247864517,2.838584718,2.676506458,0.012487336,-0.028991316,0.374837339,0.353763479,0.053151816,0.042559371,-0.025732869,-0.012467253,,0.353763479,,-0.042559371,,0.012467253,-0.005722431,-0.045879491,0.001787195,-0.064463022,0.003822886,-0.020132992,8.943664800,9.082070522
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.116627210,2.830716160,2.419194955,0.038474464,-0.112066306,0.375029355,0.318550115,0.038567156,0.016668803,-0.034235671,-0.011446430,,0.353763479,,-0.042559371,,0.012467253,-0.004244929,-0.042314108,-0.002064550,-0.116963734,0.004445424,-0.037956581,8.943664800,9.064124463
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.016672760,2.830716160,2.020059435,0.038474464,-0.243845892,0.375029355,0.318550115,0.038567156,0.016668803,-0.034235671,-0.011446430,,0.353763479,,-0.042559371,,0.012467253,-0.004244929,-0.021347938,-0.002064550,-0.144406153,0.004445424,-0.047573183,8.943664800,9.030626876
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,-0.019741215,2.821333890,1.622753952,0.032512530,-0.371721355,0.363345861,0.338728765,0.061121453,0.009493287,-0.024115322,-0.012699623,,0.353763479,,-0.042559371,,0.012467253,-0.003212529,-0.003985153,-0.003206821,-0.140170783,0.000293246,-0.043552496,8.943664800,8.990546552
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,-0.015558520,2.821401129,1.248186955,0.037581456,-0.480217626,0.357145578,0.338728765,0.053066045,0.009493287,-0.023565352,-0.012699623,,0.353763479,,-0.042559371,,0.012467253,-0.000611953,0.006770275,0.000152650,-0.108444154,0.001400215,-0.028740706,8.943664800,8.937437177
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366023090,-0.342081070,-0.354346365,1.257491827,1.253660672,0.062609081,0.061113163,0.239394994,0.028363958,2.826169610,0.930149845,0.065165978,-0.548529147,0.221765489,0.007832089,2.823321231,1.013758428,0.045578712,-0.535627942,0.357145578,0.345877276,0.053066045,0.008448290,-0.023565352,-0.016370914,,0.345287129,,-0.008881123,,0.017459811,-0.004494742,0.010055864,0.000412764,-0.061896842,0.002779995,-0.012296974,8.943664800,8.889695510
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366023090,-0.342081070,-0.354346365,1.257491827,1.253660672,0.062609081,0.061113163,0.239394994,0.028363958,2.826169610,0.930149845,0.065165978,-0.548529147,0.217610991,0.037130581,2.837304549,0.920740179,0.045407092,-0.547091879,0.359724283,0.345877276,0.028671255,0.008448290,-0.027244449,-0.016370914,,0.345287129,,-0.008881123,,0.017459811,-0.002533209,0.009310748,0.005824570,-0.001947060,-0.001774040,0.003584420,8.943664800,8.851485107
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366023090,-0.342081070,-0.354346365,1.257491827,1.253660672,0.062609081,0.061113163,0.239394994,0.028363958,2.826169610,0.930149845,0.065165978,-0.548529147,0.217610991,0.059723796,2.837304549,0.995647693,0.045407092,-0.518822595,0.359724283,0.342461615,0.028671255,0.010299315,-0.027244449,-0.018840139,,0.345287129,,-0.008881123,,0.017459811,-0.002533209,0.006611062,0.005824570,0.052966217,-0.001774040,0.015936011,8.943664800,8.842183785
