t_s,real_baro_ddepth,sim_baro_ddepth,real_depth_pose,sim_depth_pose,real_local_depth,sim_local_depth,real_local_x,sim_local_x,real_local_y,sim_local_y,real_depth_sensor_offset,sim_depth_sensor_offset,real_roll,sim_roll,real_pitch,sim_pitch,real_yaw,sim_yaw,real_imu_roll,sim_imu_roll,real_imu_pitch,sim_imu_pitch,real_imu_yaw,sim_imu_yaw,real_dvl_x,sim_dvl_x,real_dvl_y,sim_dvl_y,real_dvl_z,sim_dvl_z,real_body_vel_x,sim_body_vel_x,real_body_vel_y,sim_body_vel_y,real_body_vel_z,sim_body_vel_z,real_gyro_x,sim_gyro_x,real_gyro_y,sim_gyro_y,real_gyro_z,sim_gyro_z,real_accel_z,sim_accel_z
0.000000,0.000000000,,0.304895397,,0.367101461,,-0.386046529,,1.149234533,,0.062206064,,0.340290879,,2.766111383,,0.000000000,,0.288277619,,2.826551061,,0.000000000,,0.374837339,,0.053151816,,-0.025732869,,,,,,,,-0.006176759,,0.005677884,,0.002804363,,8.943664800,
0.050000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.288277619,0.340290879,2.826551061,2.766111383,0.000000000,0.000000000,0.374837339,0.353763479,0.053151816,0.042559371,-0.025732869,-0.012467253,,0.353763479,,-0.042559371,,0.012467253,-0.006176759,-0.006176759,0.005677884,0.005677884,0.002804363,0.002804363,8.943664800,9.150843150
0.100000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.268138506,0.247563729,2.838584718,2.676130155,0.012487336,-0.028631670,0.374837339,0.353763479,0.053151816,0.042559371,-0.025732869,-0.012467253,,0.353763479,,-0.042559371,,0.012467253,-0.005722431,-0.046130121,0.001787195,-0.064778261,0.003822886,-0.019631161,8.943664800,9.068884378
0.150000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.115428053,2.830716160,2.417273389,0.038474464,-0.108017104,0.375029355,0.319236199,0.038567156,0.016677366,-0.034235671,-0.009189800,,0.353763479,,-0.042559371,,0.012467253,-0.004244929,-0.042813367,-0.002064550,-0.117754712,0.004445424,-0.035797687,8.943664800,9.062944424
0.200000,0.000000000,0.000000000,0.304895397,0.304909927,0.367101461,0.367101461,-0.386046529,-0.386046529,1.149234533,1.149234533,0.062206064,0.062191534,0.340290879,0.340290879,2.766111383,2.766111383,0.000000000,0.000000000,0.246802232,0.014619280,2.830716160,2.014836484,0.038474464,-0.231267508,0.375029355,0.319236199,0.038567156,0.016677366,-0.034235671,-0.009189800,,0.353763479,,-0.042559371,,0.012467253,-0.004244929,-0.021642354,-0.002064550,-0.145833694,0.004445424,-0.044362273,8.943664800,9.032744206
0.250000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.234062121,-0.021868283,2.821333890,1.612638634,0.032512530,-0.350771585,0.363345861,0.341246469,0.061121453,0.009541350,-0.024115322,-0.010446250,,0.353763479,,-0.042559371,,0.012467253,-0.003212529,-0.003958513,-0.003206821,-0.142265601,0.000293246,-0.040844585,8.943664800,8.992801413
0.300000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.367101461,-0.342081070,-0.386046529,1.257491827,1.149234533,0.062609081,0.062191534,0.239394994,0.340290879,2.826169610,2.766111383,0.065165978,0.000000000,0.228440590,-0.017011943,2.821401129,1.230950415,0.037581456,-0.452605044,0.357145578,0.341246469,0.053066045,0.009541350,-0.023565352,-0.010446250,,0.353763479,,-0.042559371,,0.012467253,-0.000611953,0.007057486,0.000152650,-0.111045011,0.001400215,-0.026923284,8.943664800,8.938337316
0.350000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366726327,-0.342081070,-0.354204756,1.257491827,1.254300862,0.062609081,0.061816400,0.239394994,0.028762485,2.826169610,0.899901510,0.065165978,-0.514009054,0.221765489,0.007394046,2.823321231,0.989104431,0.045578712,-0.503752593,0.357145578,0.350258828,0.053066045,0.008510811,-0.023565352,-0.013985430,,0.350084383,,-0.008954370,,0.014966880,-0.004494742,0.010405494,0.000412764,-0.064639213,0.002779995,-0.010945056,8.943664800,8.888890732
0.400000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366726327,-0.342081070,-0.354204756,1.257491827,1.254300862,0.062609081,0.061816400,0.239394994,0.028762485,2.826169610,0.899901510,0.065165978,-0.514009054,0.217610991,0.037880692,2.837304549,0.888086455,0.045407092,-0.511475773,0.359724283,0.350258828,0.028671255,0.008510811,-0.027244449,-0.013985430,,0.350084383,,-0.008954370,,0.014966880,-0.002533209,0.009650743,0.005824570,-0.004533848,-0.001774040,0.004760232,8.943664800,8.849143020
0.450000,0.000000000,0.000000000,0.304895397,0.304909927,0.367504478,0.366726327,-0.342081070,-0.354204756,1.257491827,1.254300862,0.062609081,0.061816400,0.239394994,0.028762485,2.826169610,0.899901510,0.065165978,-0.514009054,0.217610991,0.061105227,2.837304549,0.956562578,0.045407092,-0.480205750,0.359724283,0.347742274,0.028671255,0.010386895,-0.027244449,-0.016159310,,0.350084383,,-0.008954370,,0.014966880,-0.002533209,0.006713599,0.005824570,0.050954509,-0.001774040,0.016928816,8.943664800,8.837738567
