t_s,t_wall_s,t_sim_s,t_real_s,input_lag_s,input_source_t_s,time_base,sample_phase,input_rcout_ch1,input_rcout_ch2,input_rcout_ch3,input_rcout_ch4,input_rcout_ch5,input_rcout_ch6,input_rcout_ch7,input_rcout_ch8,sim_time_s,bar30_pressure_pa,mavros_static_pressure_pa,mavros_atm_pressure_pa,depth_m,depth_pose_depth_m,local_pose_x,local_pose_y,local_pose_z,local_pose_qx,local_pose_qy,local_pose_qz,local_pose_qw,local_vel_x,local_vel_y,local_vel_z,local_vel_body_x,local_vel_body_y,local_vel_body_z,sim_odom_vel_body_x,sim_odom_vel_body_y,sim_odom_vel_body_z,dvl_twist_x,dvl_twist_y,dvl_twist_z,dvl_position_x,dvl_position_y,dvl_position_z,dvl_position_pos_std,dvl_position_roll_deg,dvl_position_pitch_deg,dvl_position_yaw_deg,dvl_position_status,imu_qx,imu_qy,imu_qz,imu_qw,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_raw_qx,imu_raw_qy,imu_raw_qz,imu_raw_qw,imu_raw_gyro_x,imu_raw_gyro_y,imu_raw_gyro_z,imu_raw_accel_x,imu_raw_accel_y,imu_raw_accel_z,seq_sim_time,seq_bar30_pressure,seq_mavros_static_pressure,seq_mavros_atm_pressure,seq_depth,seq_depth_pose,seq_local_pose,seq_local_vel,seq_local_vel_body,seq_sim_odom,seq_dvl_twist,seq_dvl_position,seq_imu,seq_imu_raw
0.000000,0.000000,0.000000,0.350000,-0.450000,0.800000,sim,initial_hold_release_snapshot,1330,1311,1286,1355,1566,1458,1579,1395,34.006000519,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,-0.012494003,0.020863371,0.614422363,0.788602422,0.000000000,0.000000000,0.000000000,-0.473259117,0.058175415,8.944081089,3,2,2,10,3,3,3,3,3,2,10,5,20,2
0.020000,0.027041,0.020000,0.370000,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,34.026000977,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,-0.004872237,0.353763479,-0.042559371,0.012467253,0.311119770,-0.031641390,0.012076488,0.353763479,0.042559371,-0.012467253,0.000012784,0.000033279,-0.000000487,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,8,3,3,11,3,3,4,4,4,8,11,6,21,3
0.040001,0.040720,0.040001,0.390001,-0.450000,0.800000,sim,runtime,1330,1311,1286,1355,1566,1458,1579,1395,34.046001434,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,-0.004872237,0.353763479,-0.042559371,0.012467253,0.311480564,-0.026682918,0.010943618,0.353763479,0.042559371,-0.012467253,0.000012784,0.000033279,-0.000000487,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,13,3,3,11,3,3,4,4,4,13,11,6,21,3
0.060001,0.055665,0.060001,0.410001,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,34.066001892,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,-0.004872237,0.353763479,-0.042559371,0.012467253,0.313130169,-0.022646022,0.010106970,0.353763479,0.042559371,-0.012467253,0.000012784,0.000033279,-0.000000487,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012644652,0.019750150,0.614254783,0.788759219,-0.046130121,-0.064778261,-0.019631161,-0.549590862,0.224593272,9.068884378,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,18,3,3,11,3,3,4,4,4,18,11,6,22,3
0.084000,0.078219,0.084000,0.434000,-0.450000,0.850000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,34.090000153,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,-0.004872237,0.353763479,-0.042559371,0.012467253,0.316398388,-0.018774582,0.009448426,0.353763479,0.042559371,-0.012467253,0.000012784,0.000033279,-0.000000487,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012644652,0.019750150,0.614254783,0.788759219,-0.046130121,-0.064778261,-0.019631161,-0.549590862,0.224593272,9.068884378,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,24,3,3,11,3,3,4,4,4,24,11,6,22,3
0.104000,0.101357,0.104000,0.454000,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,34.110000610,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,-0.004872237,0.353763479,-0.042559371,0.012467253,0.320019085,-0.016207391,0.009146647,0.319236199,0.016677366,-0.009189800,0.000012784,0.000033279,-0.000000487,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012154463,0.017268547,0.613763198,0.789207706,-0.042813367,-0.117754712,-0.035797687,-0.338102910,0.050592752,9.062944424,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,29,3,3,12,3,3,4,4,4,29,12,6,23,3
0.124001,0.118194,0.124001,0.474001,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,34.130001068,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,-0.004872237,0.353763479,-0.042559371,0.012467253,0.324293148,-0.014135411,0.009062399,0.319236199,0.016677366,-0.009189800,0.000012784,0.000033279,-0.000000487,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012154463,0.017268547,0.613763198,0.789207706,-0.042813367,-0.117754712,-0.035797687,-0.338102910,0.050592752,9.062944424,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,34,3,3,12,3,3,4,4,4,34,12,6,23,3
0.144001,0.138296,0.144001,0.494001,-0.450000,0.900000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,34.150001526,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,-0.004872237,0.353763479,-0.042559371,0.012467253,0.328963458,-0.012472844,0.009175766,0.319236199,0.016677366,-0.009189800,0.000012784,0.000033279,-0.000000487,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.012154463,0.017268547,0.613763198,0.789207706,-0.042813367,-0.117754712,-0.035797687,-0.338102910,0.050592752,9.062944424,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,39,3,3,12,3,3,4,4,4,39,12,6,23,3
0.163998,0.158299,0.163998,0.513998,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,34.169998169,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,-0.004872237,0.353763479,-0.042559371,0.012467253,0.333695434,-0.011163309,0.009480530,0.319236199,0.016677366,-0.009189800,0.000012784,0.000033279,-0.000000487,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010678092,0.013968407,0.612970955,0.789909786,-0.021642354,-0.145833694,-0.044362273,-0.134757130,-0.013278770,9.032744206,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,44,3,3,12,3,3,4,4,4,44,12,6,24,3
0.180000,0.174163,0.180000,0.530000,-0.450000,0.950000,sim,runtime,1333,1314,1288,1359,1567,1461,1573,1396,34.186000824,104810.000000000,104809.997558594,0.240000000,0.304909915,0.304909927,-0.386046529,1.149234533,-0.367101461,-0.012494003,0.020863371,0.614422363,0.788602422,0.127837607,0.332789932,-0.004872237,0.353763479,-0.042559371,0.012467253,0.337275526,-0.010334452,0.009852512,0.319236199,0.016677366,-0.009189800,0.000012784,0.000033279,-0.000000487,0.000000000,0.000000000,0.000000000,1.323911429,0,-0.010678092,0.013968407,0.612970955,0.789909786,-0.021642354,-0.145833694,-0.044362273,-0.134757130,-0.013278770,9.032744206,-0.012494003,0.020863371,0.614422363,0.788602422,-0.006176759,0.005677884,0.002804363,-1.593219338,0.689381681,9.150843150,48,3,3,12,3,3,4,4,4,48,12,6,24,3
