t_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18
1.2635481050000001,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.2663044460000001,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.316503655,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.366677458,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.416514151,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.466639328,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.5165376570000002,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.56702913,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.6164244,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.6665224390000002,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.716457925,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
1.7667188820000002,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.1207761830000003,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.1207863440000003,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.120846578,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.120950774,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.1209634640000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.1212928730000002,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.121411868,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.166401403,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.216711076,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.2665039730000003,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.3165034700000002,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.364299819,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.364322597,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.364336601,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.366333201,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.39485617,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.4163627730000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.4665357400000003,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.477615757,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.5168046310000003,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.551680349,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.566583369,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.6137792980000003,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.6164245910000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.6568827610000003,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.666725291,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.7081427430000002,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.7165762840000003,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.7566799480000004,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.7665296030000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.816840564,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.83354957,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.866514174,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.9113910350000003,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
2.916599445,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.9664859630000002,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
2.969210003,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.016531817,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.026469778,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.066830894,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.092223476,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.1165189640000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.142723832,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.166522788,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.2051126080000003,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.2164044630000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.256336499,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.266500031,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.3166935150000003,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.3469196930000003,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.3666789180000003,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.4010819750000003,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.4167148170000003,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.466984608,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.494708655,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.5165313850000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.552420107,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.566731271,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.6036981750000003,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.616534268,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.658155933,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.666875724,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.717594789,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.7306890170000004,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
3.7667110160000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3.78785718,1500,1500,1500,1500,1500,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
