t_s,forward_m,lateral_m,relative_z_m,relative_yaw_rad
0.034133266,0.0,0.0,0.0,0.0
0.07251547900000001,1.4865208231221933e-06,3.086907485750456e-07,-1.397069041564336e-07,-9.518283260289003e-08
0.11932352400000001,3.3175953446928936e-06,7.940482922837556e-07,-3.129618469932538e-07,-1.9011214321182747e-07
0.19551264100000001,5.342161369876222e-06,1.4050746139321877e-06,-5.051017697432769e-07,-2.851458142076268e-07
0.30325572100000003,7.393228182700603e-06,2.0776789939785877e-06,-6.998928593349163e-07,-3.805549321189063e-07
0.447756105,9.478463412996212e-06,2.8045920930952038e-06,-8.975976566460986e-07,-4.860581519032978e-07
0.5071916870000001,1.1049242559841453e-05,3.3786504154963107e-06,-1.045735052773722e-06,-5.823824034299619e-07
0.5676607960000001,1.2176108430600122e-05,3.80771193140116e-06,-1.1506411006223516e-06,-6.788829171522408e-07
0.6220436970000001,1.2766109903354893e-05,4.046673699382428e-06,-1.203221929313436e-06,-7.753284005580885e-07
0.6834508300000001,1.2770388037780732e-05,4.070019198823372e-06,-1.1986935988250735e-06,-8.715711393305579e-07
0.7284490010000001,1.2349977022188408e-05,3.930495510098305e-06,-1.1537455923971152e-06,-9.484065185953619e-07
0.745663818,1.2188251776287279e-05,3.874507109757951e-06,-1.1369887452650218e-06,-9.67599349462956e-07
0.794819644,1.1201503297322314e-05,3.5272457166818498e-06,-1.0363453594175454e-06,-1.053947732498889e-06
0.849373707,9.673907746747599e-06,2.9875703684701796e-06,-8.825262064471318e-07,-1.15001608581111e-06
0.9055482410000001,7.815183493051906e-06,2.3404089029852526e-06,-6.965057292029897e-07,-1.246444438579358e-06
0.9510068810000001,5.7787984509172636e-06,1.6529140091404332e-06,-4.93262552470064e-07,-1.3433709099333591e-06
1.0111247060000002,3.7328420432002896e-06,9.963891160688606e-07,-2.8917225858293705e-07,-1.4407611186777742e-06
1.05883235,1.8461250949129742e-06,4.3883016555707905e-07,-1.00649920842244e-07,-1.53839632314881e-06
1.111110671,2.7427603850755974e-07,3.788505993858913e-08,5.7197086511528994e-08,-1.6359313262019905e-06
1.169735884,-8.530277793837091e-07,-1.6505603135499257e-07,1.717972396564349e-07,-1.7330034388326928e-06
1.2209610610000001,-1.4426666154301353e-06,-1.4906750445376423e-07,2.341289887519693e-07,-1.8293549173946738e-06
1.284625624,-1.445683659406074e-06,8.418654487900344e-08,2.3944532812070207e-07,-1.9249243432684145e-06
1.3254595040000001,-8.61360580562569e-07,5.104102882417672e-07,1.8766495457622767e-07,-2.0198622187665266e-06
1.3374143630000002,-6.77401047282393e-07,6.15189283562083e-07,1.7078383629520744e-07,-2.0388000397872838e-06
1.3856538120000002,2.624484035825648e-07,1.0848956459284527e-06,8.340708435028432e-08,-2.1144895156061038e-06
