candidate,status,score,fluid_linear_scale,fluid_rot_scale,fluid_blunt_scale,fluid_slender_scale,fluid_angular_scale,fluid_kutta,fluid_magnus,profile_updates,tune_mode,command_source,out_dir
fluid_linear_p10,ok,2.7207900907568203,1.1,1.0,1.0,1.0,1.0,,,{},plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/fluid_linear_p10
restore_softer_m10,ok,2.7293264813613414,1.0,1.0,1.0,1.0,1.0,,,"{""cob_torque_scale"": 1.62, ""cob_z_offset"": 0.036}",plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/restore_softer_m10
fluid_rot_p10,ok,2.7481203228008275,1.0,1.1,1.0,1.0,1.0,,,{},plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/fluid_rot_p10
restore_stronger_p10,ok,2.760419039738127,1.0,1.0,1.0,1.0,1.0,,,"{""cob_torque_scale"": 1.98, ""cob_z_offset"": 0.044}",plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/restore_stronger_p10
inertia_rp_p10,ok,2.7897074049385586,1.0,1.0,1.0,1.0,1.0,,,"{""body_inertia_scale_xyz"": [1.1, 1.1, 1.0]}",plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/inertia_rp_p10
baseline,ok,2.7922608021399307,1.0,1.0,1.0,1.0,1.0,,,{},plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/baseline
fluid_linear_m10,ok,2.7952770503671514,0.9,1.0,1.0,1.0,1.0,,,{},plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/fluid_linear_m10
inertia_rp_m10,ok,2.8026897820952503,1.0,1.0,1.0,1.0,1.0,,,"{""body_inertia_scale_xyz"": [0.9, 0.9, 1.0]}",plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/inertia_rp_m10
heave_damping_p10,ok,2.834756070849093,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 13.2, ""heave_damping_scale"": 4.4}",plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/heave_damping_p10
fluid_rot_m10,ok,2.8425990292744188,1.0,0.9,1.0,1.0,1.0,,,{},plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/fluid_rot_m10
heave_damping_m10,ok,2.8528685890057255,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 10.8, ""heave_damping_scale"": 3.6}",plant-joy,joy_node,document/docsource/physics_only_plant_micro_0_120_20260504/heave_damping_m10
