candidate,status,score,fluid_linear_scale,fluid_rot_scale,fluid_blunt_scale,fluid_slender_scale,fluid_angular_scale,fluid_kutta,fluid_magnus,profile_updates,tune_mode,command_source,out_dir
heave_p50,ok,3.164957570516311,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 18.0, ""heave_damping_scale"": 6.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/heave_p50
buoy_p006_heave_p35,ok,3.183256008346007,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.01, ""surface_heave_damping"": 16.2, ""heave_damping_scale"": 5.4}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/buoy_p006_heave_p35
buoy_p010_heave_p35,ok,3.1900988056444874,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.014, ""surface_heave_damping"": 16.2, ""heave_damping_scale"": 5.4}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/buoy_p010_heave_p35
buoy_p003_heave_p35,ok,3.1919117568637487,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.007, ""surface_heave_damping"": 16.2, ""heave_damping_scale"": 5.4}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/buoy_p003_heave_p35
heave_p35,ok,3.1942326245186616,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 16.2, ""heave_damping_scale"": 5.4}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/heave_p35
buoy_p006_heave_p25,ok,3.2082928169382097,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.01, ""surface_heave_damping"": 15.0, ""heave_damping_scale"": 5.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/buoy_p006_heave_p25
buoy_p003_heave_p25,ok,3.2097586885802407,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.007, ""surface_heave_damping"": 15.0, ""heave_damping_scale"": 5.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/buoy_p003_heave_p25
heave_p25,ok,3.2189305510496604,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 15.0, ""heave_damping_scale"": 5.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/heave_p25
buoy_p010_heave_p25,ok,3.2222874712255267,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.014, ""surface_heave_damping"": 15.0, ""heave_damping_scale"": 5.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/buoy_p010_heave_p25
buoy_p003_heave_p20,ok,3.230106487761604,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.007, ""surface_heave_damping"": 14.4, ""heave_damping_scale"": 4.8}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/buoy_p003_heave_p20
buoy_p006_heave_p20,ok,3.2340306319732623,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.01, ""surface_heave_damping"": 14.4, ""heave_damping_scale"": 4.8}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/buoy_p006_heave_p20
heave_p20,ok,3.2397153911313405,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 14.4, ""heave_damping_scale"": 4.8}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/heave_p20
baseline,ok,3.2738439666493973,1.0,1.0,1.0,1.0,1.0,,,{},plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_20260504/baseline
