candidate,status,score,fluid_linear_scale,fluid_rot_scale,fluid_blunt_scale,fluid_slender_scale,fluid_angular_scale,fluid_kutta,fluid_magnus,profile_updates,tune_mode,command_source,out_dir
heave_p35,ok,2.4336353748970856,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 16.2, ""heave_damping_scale"": 5.4}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/heave_p35
heave_p25,ok,2.4452380273296126,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 15.0, ""heave_damping_scale"": 5.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/heave_p25
heave_p20,ok,2.4525931628143107,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 14.4, ""heave_damping_scale"": 4.8}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/heave_p20
buoy_p003_heave_p25,ok,2.459129180433047,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.007, ""surface_heave_damping"": 15.0, ""heave_damping_scale"": 5.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/buoy_p003_heave_p25
heave_p50,ok,2.4602572106803464,1.0,1.0,1.0,1.0,1.0,,,"{""surface_heave_damping"": 18.0, ""heave_damping_scale"": 6.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/heave_p50
buoy_p006_heave_p35,ok,2.4609402502612445,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.01, ""surface_heave_damping"": 16.2, ""heave_damping_scale"": 5.4}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/buoy_p006_heave_p35
buoy_p003_heave_p20,ok,2.473954602855788,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.007, ""surface_heave_damping"": 14.4, ""heave_damping_scale"": 4.8}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/buoy_p003_heave_p20
buoy_p003_heave_p35,ok,2.4739791835488623,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.007, ""surface_heave_damping"": 16.2, ""heave_damping_scale"": 5.4}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/buoy_p003_heave_p35
buoy_p010_heave_p35,ok,2.474567131070471,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.014, ""surface_heave_damping"": 16.2, ""heave_damping_scale"": 5.4}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/buoy_p010_heave_p35
baseline,ok,2.4886813627523616,1.0,1.0,1.0,1.0,1.0,,,{},plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/baseline
buoy_p006_heave_p25,ok,2.490182739896752,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.01, ""surface_heave_damping"": 15.0, ""heave_damping_scale"": 5.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/buoy_p006_heave_p25
buoy_p006_heave_p20,ok,2.501754327371739,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.01, ""surface_heave_damping"": 14.4, ""heave_damping_scale"": 4.8}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/buoy_p006_heave_p20
buoy_p010_heave_p25,ok,2.5023670872477766,1.0,1.0,1.0,1.0,1.0,,,"{""buoyancy_scale"": 1.014, ""surface_heave_damping"": 15.0, ""heave_damping_scale"": 5.0}",plant-rc-out,rc_out,document/docsource/pressure_z_refine_rcout_scale058_20260504/buoy_p010_heave_p25
