case,case_dir,overlay_png,input_ok,plant_input_mismatches,plant_input_maxdiff_us,source_class,semantic_layer,output_telemetry,high_rate_actuator_history,distinct_pwm_step_hz,raw_sample_hz,thruster_layer_ok,thruster_layer_mismatches,thruster_layer_maxdiff_us,step_latency_p95_s,observability_ok,telemetry_limited,hydro_tuning_gate_ok,failed_targets,phase_ok,max_initial_phase_slip_s,phase_offsets,dynamic_start_ok,yaw_delta_real_deg,yaw_delta_sim_deg,yaw_delta_ratio,direct_t200_violations,likely_perf_direct_disabled,dvl_identity_corr_rank,dvl_identity_rmse_rank,baro_ddepth_rmse,baro_ddepth_corr,baro_ddepth_bias,baro_ddepth_lag_s,depth_pose_rmse,depth_pose_corr,depth_pose_bias,depth_pose_lag_s,dvl_x_rmse,dvl_x_corr,dvl_x_bias,dvl_x_lag_s,dvl_y_rmse,dvl_y_corr,dvl_y_bias,dvl_y_lag_s,dvl_z_rmse,dvl_z_corr,dvl_z_bias,dvl_z_lag_s,roll_rmse,roll_corr,roll_bias,roll_lag_s,pitch_rmse,pitch_corr,pitch_bias,pitch_lag_s,yaw_rmse,yaw_corr,yaw_bias,yaw_lag_s,gyro_x_rmse,gyro_x_corr,gyro_x_bias,gyro_x_lag_s,gyro_y_rmse,gyro_y_corr,gyro_y_bias,gyro_y_lag_s,gyro_z_rmse,gyro_z_corr,gyro_z_bias,gyro_z_lag_s,accel_z_rmse,accel_z_corr,accel_z_bias,accel_z_lag_s,thruster_debug_rows,active_rows,base_depth_mean,base_vz_down_mean,thr_force_world_z_mean,thr_torque_body_z_mean,thr_torque_body_z_rms,qacc_z_mean,qacc_yaw_mean,net_static_force_world_z_mean,diagnosis
highrate_recon_vertical_gain_0p25_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/highrate_recon_vertical_gain_0p25_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/highrate_recon_vertical_gain_0p25_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,34.0,1.0,0.02590659895808806,0.15736738926916702,-0.020928249060296854,4.05,0.02590168611105369,0.16160065684583966,-0.020943166439999997,4.0,0.09521466856694971,-0.3303339328910475,-0.06575941749999999,-4.3,0.056921030108101255,0.18578393566387838,0.032381910075,-0.75,0.023617617973259432,-0.03756049582497645,0.020216486675,-5.0,0.4246909384927511,0.19246706913567044,0.18559719315176892,4.5,1.5888582635332353,-0.27921302704634704,-1.132924973954978,3.1500000000000004,26.645629346658257,0.9349048177820495,-16.89795709168745,-0.15000000000000002,0.01858121918494803,0.558287072847668,-0.003339639985,-4.55,0.06818324775338006,0.003899420364275666,-0.004670367665,-3.25,0.2748509217771027,0.7952263405007605,0.041593895060000004,-0.15000000000000002,0.06661847514279513,0.047949147202377536,0.01782939219999994,3.85,909,248,0.3428404477500003,-0.0032779395511768126,-0.9075501659130641,-1.392694336508267,3.937741511840025,0.00033829677828838727,0.012298645485080648,2.94309079000001,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
highrate_recon_vertical_gain_0p2_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/highrate_recon_vertical_gain_0p2_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/highrate_recon_vertical_gain_0p2_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,31.0,1.0,0.023933775054442007,0.15650563968404962,-0.0193983294167726,-2.45,0.023916970601729114,0.15650563206487958,-0.01938132987437186,-2.45,0.0952712215698726,-0.3280076942002996,-0.06582435153768844,-4.3,0.057041647491401,0.18374405767434845,0.03242062085427135,-0.75,0.023485680564851594,0.002850628528694528,0.0203270314321608,3.3000000000000003,0.4137244851957925,0.21735197777519746,0.1959780368055605,-0.25,1.520422726810988,-0.2684622929918155,-1.0536086370206423,3.1500000000000004,26.623752322119792,0.9345415328411852,-16.91810343784971,-0.15000000000000002,0.018644929311668654,0.5550137191927037,-0.0032088502060301505,-4.55,0.0668979936038951,0.00624945505009406,-0.004594489783919598,-3.25,0.2760032518769434,0.7940070900711675,0.042212845537688434,-0.15000000000000002,0.06577867855808595,0.05034572407660477,0.017266850522613,3.9000000000000004,911,250,0.34536105588400007,-0.0029038044136964025,-0.9892427326108008,-1.3751892512394004,3.9098390778095737,5.438304872295954e-05,0.011553132550959971,2.94309079000001,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
real_rcou_geometry_bar30_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_geometry_bar30_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_geometry_bar30_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,8.0,1.0,0.013847698238765188,-0.003942040334329883,-0.007703739464756121,-2.95,0.013830187770867175,-0.003990080741636865,-0.007681860249999994,-2.95,0.04864986983564284,0.07674139362999577,-0.03160674128,2.8000000000000003,0.055990370883926464,0.1457076466983438,0.030997823055,1.4500000000000002,0.022987644062259935,0.1403480601072443,0.020114963705000002,-4.1000000000000005,0.354445726286124,0.336927624294691,0.2434570770708123,0.1,0.8664028383893709,-0.16239119591225326,-0.5401480657452978,3.45,24.14907268757871,0.9869398839754424,20.564772987901716,0.15000000000000002,0.018054520828317735,0.5108075179564224,-0.0009583785550000002,-4.45,0.039369370342741045,-0.041897465063466977,-0.004881040405,4.65,0.25231568780867103,0.7372870796750206,0.01605065292000001,-4.4,0.05181668742710991,0.023955810944330476,0.016747561139999867,3.2,862,219,0.3612376980319635,0.0001805291509858449,-1.8392581001872146,-2.091786047778355,3.1751631246869416,-0.0009632862898619174,-0.02812591515150688,2.9430907900000056,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
real_rcou_startvel_dvl_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_dvl_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_dvl_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,7.0,1.0,0.012989687366633052,0.0030958823800193423,-0.006106590498567155,-2.95,0.012968348418219325,0.007138731593195974,-0.006084442615000001,-3.0,0.048480171160026266,0.09308336100188642,-0.031173598309999998,2.8000000000000003,0.0574244743052118,0.07863029265696933,0.029390577764999995,1.4500000000000002,0.02358627424814933,0.13194755559375515,0.020609844685,3.0,0.3542704914307618,0.3372529115151555,0.24323942541541485,0.1,0.8691853682500188,-0.16042257557389272,-0.5407761196520101,3.45,24.177166149300334,0.9869836641633266,20.618884666776236,0.15000000000000002,0.01821983086947264,0.503621993383708,-0.0009856253549999998,-4.45,0.03986862872466375,-0.03957617651353669,-0.004892421075,4.65,0.25201397221291333,0.7381843869740536,0.016275588815,-4.4,0.0666114921185906,0.029537668015228443,0.02062576796999992,3.2,862,219,0.36338792922831026,0.00041500733026894973,-1.838947821410959,-2.093239477858448,3.1769005238245795,0.005267849065800271,-0.028452528722694027,2.9430907900000056,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
real_rcou_startvel_local_xy_dvl_z_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,7.0,1.0,0.012770973792349712,0.001971584808799362,-0.005637090431414313,-2.95,0.01276399029782535,0.0027408290763067684,-0.005641397740000002,-3.0,0.048600986502059164,0.07857874525120347,-0.03156056432,2.8000000000000003,0.05597044627194313,0.14561276283033917,0.030984536945,1.4500000000000002,0.02361946742028417,0.13321506409114484,0.020656915695000003,3.0,0.35435741237101076,0.3336186718521358,0.24282269441656215,0.1,0.8680189342758544,-0.15978286136122669,-0.5404840017527642,3.45,23.683433013935293,0.9869188266614466,20.203573181192922,0.15000000000000002,0.018111935646585364,0.5077072017084219,-0.0009051823349999999,-4.45,0.039694699034169764,-0.03930337339278879,-0.004917359125,4.65,0.25289482770237026,0.7357432521069195,0.014623123105000002,-4.4,0.0669617817998577,0.03169252264451142,0.020799931364999785,-2.7,860,217,0.36380325026728116,0.0004607351150406915,-1.842597299175115,-2.113421565352673,3.192318640999353,0.005108810431455761,-0.02945189666834102,2.943090790000005,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
real_rcou_startvel_local_xy_dvl_z_blend0p5_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_blend0p5_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_blend0p5_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,7.0,1.0,0.013289312854882386,-0.0028404321837511245,-0.006685295654965398,-2.95,0.013265243503861324,-0.0002534717390475897,-0.006658781354999992,-2.95,0.04857061557116185,0.07756585443531326,-0.03151602951,2.8000000000000003,0.05595532309869659,0.14611114483330512,0.030963108645000004,1.4500000000000002,0.023175888012788685,0.17835032730116765,0.020380051155,-4.1000000000000005,0.3541427956507787,0.3355424920807203,0.24276943688847402,0.1,0.8671906248884401,-0.16152808019034065,-0.5401270820039102,3.45,23.311856732979773,0.9871292496298741,19.844065361285587,0.15000000000000002,0.018088428382973917,0.5090221829649618,-0.0008881786050000001,-4.45,0.03950776254082506,-0.03975093416123907,-0.004911326075000001,4.65,0.2513193266096554,0.7389526155012932,0.014182786195000002,-4.4,0.05744323540208645,0.029599369179971365,0.018783041764999925,3.2,859,216,0.36267022934259285,0.0003144172833809264,-1.8438992910648162,-2.1172851432846294,3.1950552019713716,0.00201715532897352,-0.030827225743796288,2.943090790000005,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
real_rcou_startvel_local_xy_dvl_z_buoy100_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_buoy100_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_buoy100_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,7.0,3.0,0.04650304604537478,-0.1658660685414714,0.03530388228707851,-4.45,0.046524883553482,-0.16612681916546612,0.035366435815,-4.45,0.04747880744617589,0.08468007469035997,-0.02889311081,2.8000000000000003,0.055885431513139606,0.15325958883950994,0.031057380365,1.4500000000000002,0.031475651824473844,0.14418638083252178,0.029368990865,2.6500000000000004,0.37709841011855133,0.27017473278568466,0.26569676580560064,1.5,0.880446286336267,-0.16073120751175757,-0.5533257172258628,3.45,23.30397371003976,0.9871775231083867,19.918104568472174,0.15000000000000002,0.018011234391120023,0.5130220296432036,-0.0008163410050000002,-4.45,0.040285153407910446,-0.041717716913520414,-0.0051815292049999994,4.65,0.25122678942556037,0.7397468901678209,0.013648815770000012,-4.4,0.06300619174153078,0.02616548901632533,0.02002347411999988,3.2,877,216,0.410591802685185,0.009182501006574074,-1.8396960348194444,-2.123207069661713,3.1969614806197733,0.0017731238677799082,-0.027561713126805592,0.0,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
real_rcou_startvel_local_xy_dvl_z_buoy1014_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_buoy1014_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_buoy1014_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,7.0,2.0,0.016480922643824777,-0.1502309751349483,0.0065151018586317565,-4.45,0.01651096639537499,-0.15168562750879153,0.0065518410449999995,-4.45,0.04808841729966418,0.08095999479992268,-0.030526579369999998,2.8000000000000003,0.05594415763767846,0.14766056514402257,0.030994784285,1.4500000000000002,0.025889402620127636,0.13735957534260287,0.023242534675000003,3.0,0.3610066197827363,0.31682983559531147,0.2498553385540932,0.1,0.8722554144909042,-0.15997752361941137,-0.5446362832156336,3.45,23.20142813577989,0.9871734561784583,19.795846270063635,0.15000000000000002,0.018055332727087495,0.5105146419026256,-0.0008632087850000001,-4.45,0.03992532347742431,-0.03936349567784504,-0.00500506962,4.65,0.2505684575559708,0.7403906032410108,0.013966101970000002,-4.4,0.06581733329674935,0.029519101969386997,0.020563996599999922,3.1500000000000004,877,216,0.3776887630925928,0.002969759327611111,-1.8419133193425925,-2.1174738386268523,3.1842816193470194,0.002206929847462176,-0.026624423635185197,2.0601635500000106,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
real_rcou_startvel_local_xy_dvl_z_heave240_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_heave240_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_heave240_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,8.0,2.0,0.014957366109437775,-0.1480310857346401,0.00482177745166243,-4.45,0.014952713634642312,-0.14658766695760542,0.004851544655000007,-4.45,0.04826079630302497,0.08202358203543501,-0.030720250339999998,2.8000000000000003,0.0559487310633664,0.14829735831658647,0.031017154295000002,1.4500000000000002,0.025434929211325612,0.12567897894622485,0.022735459125000003,3.0,0.35928454428152845,0.3233362904357488,0.2485122740482325,0.1,0.872825576027463,-0.16097510344541785,-0.5469467489958777,3.45,24.247825381978142,0.9870234388043108,20.699482705307446,0.15000000000000002,0.017848566599827975,0.5180835275820961,-0.0007957188400000004,-4.4,0.03931296886365243,-0.03821309296959011,-0.004600311825,4.65,0.2516017522696447,0.7389953349858726,0.016761198095000002,-4.4,0.07207509534145504,0.02925410562116029,0.021342889794999945,-2.7,879,218,0.37570884071100885,0.002394996509523396,-1.8357089071788997,-2.0929407415793575,3.1685352306928403,0.0020871044873417423,-0.025333527345412818,2.9430907900000056,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
real_rcou_startvel_local_xy_dvl_z_vhist2s_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_vhist2s_10s,/Users/kanghyunmin/Desktop/uuv_sim/UUV-HAN/outputs/plant_contract_structure_v65_20260615/real_rcou_startvel_local_xy_dvl_z_vhist2s_10s/sensor_overlay/plant_sensor_overlay.png,,0,nan,,,,,nan,nan,,0,nan,nan,,,,,True,0.075,,False,nan,nan,nan,0,,7.0,1.0,0.012762774954973155,0.001772986609610909,-0.00561882280416419,-2.95,0.012747690503301061,0.003626024327878327,-0.005606613289999995,-2.95,0.04854468364797624,0.07742392788132477,-0.03149545088,2.8000000000000003,0.05595394770670589,0.1467375739022187,0.030987022285000002,1.4500000000000002,0.02361731872670361,0.13394072227392856,0.020655994634999997,3.0,0.35449539278325576,0.3370578817890325,0.24354858975449697,0.1,0.8690074345767296,-0.15966655247317482,-0.5410703655310866,3.45,23.96097461084045,0.9871056792623162,20.455068638708866,0.15000000000000002,0.018100951098707695,0.5086039297671004,-0.0009740120900000002,-4.45,0.03980758263611153,-0.03666479021399531,-0.00499556803,4.65,0.2502136964251527,0.7414933409673818,0.01635451229,-4.4,0.06711995421484607,0.031318983536322315,0.020802663664999894,3.1500000000000004,861,218,0.3638530877064221,0.0004587512609711014,-1.8415165636788984,-2.088825320908073,3.163324171476539,0.005094806108645046,-0.028895720779495468,2.9430907900000056,"dynamic_start_contract_fail,baro_depth_corr_low,pitch_rate_corr_low,yaw_rate_corr_below_gate,yaw_bias_large"
